# File: A00.india_state_laborforce.csv
# Title: Estimated labour force projections
# Units: NA
# Description: Estimated to correct the trajectory of GDP growth rates
# Column types: cin
# ----------
region,year,laborforce
TN,2085,0.490301598
TN,2090,0.490301598
TN,2095,0.490301598
TN,2100,0.490301598
TR,1975,0.5
TR,1990,0.5
TR,2005,0.5
TR,2010,0.316891095
TR,2015,0.372841801
TR,2020,0.372841801
TR,2025,0.372841801
TR,2030,0.372841801
TR,2035,0.372841801
TR,2040,0.372841801
TR,2045,0.372841801
TR,2050,0.372841801
TR,2055,0.372841801
TR,2060,0.372841801
TR,2065,0.372841801
TR,2070,0.372841801
TR,2075,0.372841801
TR,2080,0.372841801
TR,2085,0.372841801
TR,2090,0.372841801
TR,2095,0.372841801
TR,2100,0.372841801
TS,1975,0.5
TS,1990,0.5
TS,2005,0.5
TS,2010,0.387099804
TS,2015,0.419734651
TS,2020,0.419734651
TS,2025,0.419734651
TS,2030,0.419734651
TS,2035,0.419734651
TS,2040,0.419734651
TS,2045,0.419734651
TS,2050,0.419734651
TS,2055,0.419734651
TS,2060,0.419734651
TS,2065,0.419734651
TS,2070,0.419734651
TS,2075,0.419734651
TS,2080,0.419734651
TS,2085,0.419734651
TS,2090,0.419734651
TS,2095,0.419734651
TS,2100,0.419734651
UK,1975,0.5
UK,1990,0.5
UK,2005,0.5
UK,2010,0.355596754
UK,2015,0.375409389
UK,2020,0.375409389
UK,2025,0.375409389
UK,2030,0.375409389
UK,2035,0.375409389
UK,2040,0.375409389
UK,2045,0.375409389
UK,2050,0.375409389
UK,2055,0.375409389
UK,2060,0.375409389
UK,2065,0.375409389
UK,2070,0.375409389
UK,2075,0.375409389
UK,2080,0.375409389
UK,2085,0.375409389
UK,2090,0.375409389
UK,2095,0.375409389
UK,2100,0.375409389
UP,1975,0.5
UP,1990,0.5
UP,2005,0.5
UP,2010,0.367783632
UP,2015,0.345139849
UP,2020,0.345139849
UP,2025,0.345139849
UP,2030,0.345139849
UP,2035,0.345139849
