# File: A44.india_state_subregional_pop_share.csv
# Title: Subregional pop share
# Units: Share
# Source: Census of India
# Column types: ccnnnnnnnnnnnnnnnnnnnnnn
# ----------
DN,resid rural,0.533831325,0.533831325,0.533831325,0.533831325,0.415929204,0.328947368,0.266746411,0.222410866,0.193188491,0.1432,0.0584,0,0,0,0,0,0,0,0,0,0,0
DD,resid rural,0.248371795,0.248371795,0.248371795,0.248371795,0.127659574,0.059701493,0.026950355,0.013192612,0.007110208,0,0,0,0,0,0,0,0,0,0,0,0,0
DL,resid rural,0.025027283,0.025027283,0.025027283,0.025027283,0.013920865,0.006465412,0.001996451,4.07E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GA,resid rural,0.378270028,0.378270028,0.378270028,0.378270028,0.319444444,0.263630532,0.210756723,0.161665646,0.11785929,0.059897305,0,0,0,0,0,0,0,0,0,0,0,0
GJ,resid rural,0.574180583,0.574180583,0.574180583,0.574180583,0.547914301,0.522625666,0.497988824,0.473867909,0.450083624,0.409921065,0.350401776,0.2944,0.27087983,0.252553279,0.233712798,0.214343978,0.2,0.2,0.2,0.2,0.2,0.2
HR,resid rural,0.65205014,0.65205014,0.65205014,0.65205014,0.620651976,0.590815046,0.561551487,0.532659503,0.504076126,0.465252069,0.408716416,0.349346882,0.325959001,0.301629555,0.276320638,0.249992817,0.215287166,0.2,0.2,0.2,0.2,0.2
HP,resid rural,0.899549956,0.899549956,0.899549956,0.899549956,0.898575021,0.897349202,0.896160443,0.89496888,0.893770071,0.88899582,0.880774902,0.872294215,0.869696517,0.867098819,0.864501121,0.861903424,0.859305726,0.856708028,0.854110331,0.851512633,0.848914935,0.846317237
JK,resid rural,0.728690268,0.728690268,0.728690268,0.728690268,0.712491277,0.699731504,0.686888313,0.673838869,0.660608937,0.644357953,0.616997476,0.588709238,0.579431628,0.570154017,0.560876407,0.551598796,0.542321186,0.533043575,0.523765964,0.514488354,0.505210743,0.495933133
JH,resid rural,0.759470109,0.759470109,0.759470109,0.759470109,0.75047486,0.741675548,0.733092436,0.724617557,0.71617761,0.702954919,0.680477729,0.657260711,0.649862433,0.642464155,0.635065877,0.6276676,0.620269322,0.612871044,0.605472766,0.598074489,0.590676211,0.583277933
KA,resid rural,0.61430041,0.61430041,0.61430041,0.61430041,0.589391085,0.565502281,0.541486616,0.517196965,0.492536276,0.454117384,0.397703049,0.3448,0.321852877,0.304006468,0.285636172,0.266726614,0.247261962,0.227225922,0.206601719,0.2,0.2,0.2
KL,resid rural,0.522809023,0.522809023,0.522809023,0.522809023,0.404187634,0.289920821,0.186207087,0.099305082,0.035697854,0,0,0,0,0,0,0,0,0,0,0,0,0
LA,resid rural,0.657859851,0.657859851,0.657859851,0.657859851,0.738675958,0.703703704,0.668852459,0.631410256,0.591772152,0.5512,0.5,0.5,0.495,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49
LD,resid rural,0.219170313,0.219170313,0.219170313,0.219170313,0.104477612,0.029411765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MP,resid rural,0.723700612,0.723700612,0.723700612,0.723700612,0.717864122,0.7122675,0.706801378,0.701404468,0.696024702,0.683328219,0.660715617,0.637282078,0.630370581,0.623311583,0.616101936,0.608738427,0.60121777,0.593536613,0.58569153,0.577679022,0.569495517,0.561137366
MH,resid rural,0.547690031,0.547690031,0.547690031,0.547690031,0.533871824,0.520158795,0.506534785,0.492915003,0.479212366,0.44,0.4,0.345,0.32,0.3,0.28,0.26,0.245,0.24,0.23,0.22,0.21,0.206696526
MN,resid rural,0.69794,0.69794,0.69794,0.69794,0.694555113,0.681200632,0.667774086,0.654471545,0.640924464,0.6226,0.6,0.6,0.595,0.59,0.585,0.585,0.585,0.585,0.585,0.585,0.585,0.585
ML,resid rural,0.799249828,0.799249828,0.799249828,0.799249828,0.796740173,0.794403893,0.792151163,0.789826719,0.78730331,0.780122501,0.766273843,0.752138236,0.749268751,0.746399265,0.74352978,0.740660295,0.737790809,0.734921324,0.732051839,0.729182353,0.726312868,0.723443382
MZ,resid rural,0.484899628,0.484899628,0.484899628,0.484899628,0.466724287,0.454769737,0.442610063,0.430839002,0.419662509,0.3982,0.358,0.3168,0.3068,0.2968,0.2868,0.2768,0.2668,0.2568,0.2468,0.2368,0.2268,0.2268
NL,resid rural,0.710320202,0.710320202,0.710320202,0.710320202,0.64189837,0.570711679,0.498692241,0.427074602,0.356794142,0.3166,0.3,0.3,0.295,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29
OD,resid rural,0.833219963,0.833219963,0.833219963,0.833219963,0.824197737,0.814956964,0.805358462,0.795369712,0.78485286,0.761433895,0.729686397,0.69606478,0.679727411,0.66240648,0.644042775,0.624573517,0.603932149,0.582048106,0.558846574,0.534248238,0.508169004,0.480519719
PC,resid rural,0.316879607,0.316879607,0.316879607,0.316879607,0.308131241,0.301082113,0.293682413,0.287608363,0.282051282,0.26254,0.22104,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
PB,resid rural,0.62506112,0.62506112,0.62506112,0.62506112,0.607069321,0.589010844,0.570821892,0.552466731,0.533743646,0.498394024,0.446505288,0.392065133,0.374174003,0.355693165,0.336603183,0.316883977,0.29651481,0.275474257,0.253740189,0.231289747,0.208099319,0.2
RJ,resid rural,0.751089926,0.751089926,0.751089926,0.751089926,0.743898168,0.736708669,0.729621482,0.722562444,0.715501916,0.694925023,0.664353685,0.632322844,0.615685442,0.598204856,0.579838352,0.560541034,0.540265727,0.518962868,0.496580378,0.473063543,0.448354873,0.422393969
SK,resid rural,0.750319536,0.750319536,0.750319536,0.750319536,0.652173913,0.550960118,0.447740113,0.347826087,0.25428195,0.2146,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
TN,resid rural,0.51551993,0.51551993,0.51551993,0.51551993,0.49412474,0.472081883,0.449758853,0.426987014,0.403666082,0.364314488,0.304384159,0.241765113,0.22568291,0.209600707,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
TS,resid rural,0.611219743,0.611219743,0.611219743,0.611219743,0.571828205,0.535745527,0.49919764,0.462085852,0.423999797,0.386299435,0.328752365,0.268638593,0.242431489,0.215172606,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
TR,resid rural,0.738230006,0.738230006,0.738230006,0.738230006,0.685080021,0.630311963,0.574413146,0.517832957,0.461117196,0.400029766,0.3366,0.3,0.27,0.26,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
UP,resid rural,0.77718006,0.77718006,0.77718006,0.77718006,0.769865841,0.762610055,0.755438341,0.748256688,0.74099,0.718208259,0.685930578,0.651927255,0.633305784,0.613568541,0.592648668,0.570475305,0.546973344,0.522063177,0.495660427,0.467675659,0.438014083,0.406575226
UK,resid rural,0.694449929,0.694449929,0.694449929,0.694449929,0.674012087,0.650407931,0.627032436,0.603561163,0.588602111,0.560813694,0.518765647,0.474799909,0.455622988,0.436446066,0.417269145,0.398092224,0.378915303,0.359738381,0.34056146,0.321384539,0.302207618,0.283030696
WB,resid rural,0.681060488,0.681060488,0.681060488,0.681060488,0.660997697,0.640458599,0.619516126,0.598030675,0.575851784,0.538360961,0.485301785,0.4293987,0.409208118,0.388217365,0.366394729,0.343707242,0.32012063,0.295599258,0.270106082,0.243602589,0.216048737,0.2
