# File: A44.india_state_in_EJ_comm_F_Uoth_Y.csv
# Title: State-wise apploth energy demand in India
# Units: EJ/yr
# Comments: commential apploth energy demand
# Source: Refer to India_bld disaggg
# Column types: ccccnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# ----------
state,sector,fuel,service,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
DN,comm,electricity,comm ref,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004
GA,comm,electricity,comm ref,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
GJ,comm,electricity,comm ref,0.00158,0.00158,0.00158,0.00158,0.00158,0.00158,0.00158,0.00158,0.00158,0.00158,0.00158,0.00158,0.00158,0.00158,0.00158,0.00158,0.00158,0.00158,0.00158,0.00158,0.00158,0.00158,0.00158,0.00158,0.00158,0.00158,0.00158,0.00158,0.00158,0.00158,0.00158,0.00158,0.00158,0.00158,0.00158,0.00158,0.00158,0.00158,0.00158,0.00158
HP,comm,electricity,comm ref,0.00031,0.00031,0.00031,0.00031,0.00031,0.00031,0.00031,0.00031,0.00031,0.00031,0.00031,0.00031,0.00031,0.00031,0.00031,0.00031,0.00031,0.00031,0.00031,0.00031,0.00031,0.00031,0.00031,0.00031,0.00031,0.00031,0.00031,0.00031,0.00031,0.00031,0.00031,0.00031,0.00031,0.00031,0.00031,0.00031,0.00031,0.00031,0.00031,0.00031
HR,comm,electricity,comm ref,0.00085,0.00085,0.00085,0.00085,0.00085,0.00085,0.00085,0.00085,0.00085,0.00085,0.00085,0.00085,0.00085,0.00085,0.00085,0.00085,0.00085,0.00085,0.00085,0.00085,0.00085,0.00085,0.00085,0.00085,0.00085,0.00085,0.00085,0.00085,0.00085,0.00085,0.00085,0.00085,0.00085,0.00085,0.00085,0.00085,0.00085,0.00085,0.00085,0.00085
JH,comm,electricity,comm ref,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014,0.00014
JK,comm,electricity,comm ref,0.00035,0.00035,0.00035,0.00035,0.00035,0.00035,0.00035,0.00035,0.00035,0.00035,0.00035,0.00035,0.00035,0.00035,0.00035,0.00035,0.00035,0.00035,0.00035,0.00035,0.00035,0.00035,0.00035,0.00035,0.00035,0.00035,0.00035,0.00035,0.00035,0.00035,0.00035,0.00035,0.00035,0.00035,0.00035,0.00035,0.00035,0.00035,0.00035,0.00035
KA,comm,electricity,comm ref,0.00195,0.00195,0.00195,0.00195,0.00195,0.00195,0.00195,0.00195,0.00195,0.00195,0.00195,0.00195,0.00195,0.00195,0.00195,0.00195,0.00195,0.00195,0.00195,0.00195,0.00195,0.00195,0.00195,0.00195,0.00195,0.00195,0.00195,0.00195,0.00195,0.00195,0.00195,0.00195,0.00195,0.00195,0.00195,0.00195,0.00195,0.00195,0.00195,0.00195
KL,comm,electricity,comm ref,0.00088,0.00088,0.00088,0.00088,0.00088,0.00088,0.00088,0.00088,0.00088,0.00088,0.00088,0.00088,0.00088,0.00088,0.00088,0.00088,0.00088,0.00088,0.00088,0.00088,0.00088,0.00088,0.00088,0.00088,0.00088,0.00088,0.00088,0.00088,0.00088,0.00088,0.00088,0.00088,0.00088,0.00088,0.00088,0.00088,0.00088,0.00088,0.00088,0.00088
LA,comm,electricity,comm ref,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001
LD,comm,electricity,comm ref,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
MH,comm,electricity,comm ref,0.0011,0.0011,0.0011,0.0011,0.0011,0.0011,0.0011,0.0011,0.0011,0.0011,0.0011,0.0011,0.0011,0.0011,0.0011,0.0011,0.0011,0.0011,0.0011,0.0011,0.0011,0.0011,0.0011,0.0011,0.0011,0.0011,0.0011,0.0011,0.0011,0.0011,0.0011,0.0011,0.0011,0.0011,0.0011,0.0011,0.0011,0.0011,0.0011,0.0011
ML,comm,electricity,comm ref,0.00388,0.00388,0.00388,0.00388,0.00388,0.00388,0.00388,0.00388,0.00388,0.00388,0.00388,0.00388,0.00388,0.00388,0.00388,0.00388,0.00388,0.00388,0.00388,0.00388,0.00388,0.00388,0.00388,0.00388,0.00388,0.00388,0.00388,0.00388,0.00388,0.00388,0.00388,0.00388,0.00388,0.00388,0.00388,0.00388,0.00388,0.00388,0.00388,0.00388
