# File: A10.EB_trn_SecFuel_mtoe.csv
# Title: Database of fuel consumption across transport sector
# Units: Energy units in mtoe
# Source:  GHG platform
# Column types: cccccnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# ----------
State,GHG_Platform_sectors,GHG_Platform_fuels,sector,fuel,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
TN,trn_aviation_intl,oil,trn_aviation_intl,refined liquids,0.04535032,0.04535032,0.04535032,0.04535032,0.04535032,0.04535032,0.04535032,0.04535032,0.04535032,0.04535032,0.04535032,0.04535032,0.04535032,0.04535032,0.04535032,0.04535032,0.04535032,0.04535032,0.04535032,0.04535032,0.04535032,0.04535032,0.04535032,0.04535032,0.04535032,0.04535032,0.04535032,0.04535032,0.04535032,0.04535032,0.04535032,0.04535032,0.04535032,0.04535032,0.04535032,0.04535032,0.04535032,0.04535032,0.04535032,0.04535032,0.046502165,0.047858234,0.048262571,0.046471189,0.041929639
TR,trn_aviation_intl,oil,trn_aviation_intl,refined liquids,0.000860584,0.000860584,0.000860584,0.000860584,0.000860584,0.000860584,0.000860584,0.000860584,0.000860584,0.000860584,0.000860584,0.000860584,0.000860584,0.000860584,0.000860584,0.000860584,0.000860584,0.000860584,0.000860584,0.000860584,0.000860584,0.000860584,0.000860584,0.000860584,0.000860584,0.000860584,0.000860584,0.000860584,0.000860584,0.000860584,0.000860584,0.000860584,0.000860584,0.000860584,0.000860584,0.000860584,0.000860584,0.000860584,0.000860584,0.000860584,0.000797641,0.000590207,0.000299864,0.00028955,0.000372598
TS,trn_aviation_intl,oil,trn_aviation_intl,refined liquids,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020552864,0.026553782
UK,trn_aviation_intl,oil,trn_aviation_intl,refined liquids,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UP,trn_aviation_intl,oil,trn_aviation_intl,refined liquids,0.011996254,0.011996254,0.011996254,0.011996254,0.011996254,0.011996254,0.011996254,0.011996254,0.011996254,0.011996254,0.011996254,0.011996254,0.011996254,0.011996254,0.011996254,0.011996254,0.011996254,0.011996254,0.011996254,0.011996254,0.011996254,0.011996254,0.011996254,0.011996254,0.011996254,0.011996254,0.011996254,0.011996254,0.011996254,0.011996254,0.011996254,0.011996254,0.011996254,0.011996254,0.011996254,0.011996254,0.011996254,0.011996254,0.011996254,0.011996254,0.011635809,0.012524202,0.012741626,0.012493039,0.016841407
WB,trn_aviation_intl,oil,trn_aviation_intl,refined liquids,0.018944816,0.018944816,0.018944816,0.018944816,0.018944816,0.018944816,0.018944816,0.018944816,0.018944816,0.018944816,0.018944816,0.018944816,0.018944816,0.018944816,0.018944816,0.018944816,0.018944816,0.018944816,0.018944816,0.018944816,0.018944816,0.018944816,0.018944816,0.018944816,0.018944816,0.018944816,0.018944816,0.018944816,0.018944816,0.018944816,0.018944816,0.018944816,0.018944816,0.018944816,0.018944816,0.018944816,0.018944816,0.018944816,0.018944816,0.018944816,0.019596608,0.020365557,0.020337571,0.021677972,0.02543599
AN,trn_freight_rail,coal,trn_freight,coal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AP,trn_freight_rail,coal,trn_freight,coal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR,trn_freight_rail,coal,trn_freight,coal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AS,trn_freight_rail,coal,trn_freight,coal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BR,trn_freight_rail,coal,trn_freight,coal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CG,trn_freight_rail,coal,trn_freight,coal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CH,trn_freight_rail,coal,trn_freight,coal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DD,trn_freight_rail,coal,trn_freight,coal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DL,trn_freight_rail,coal,trn_freight,coal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DN,trn_freight_rail,coal,trn_freight,coal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GA,trn_freight_rail,coal,trn_freight,coal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
