# File: A44.india_state_in_EJ_res_F_lighting_Y.csv
# Title: State-wise lighting energy demand in India
# Units: EJ/yr
# Comments: Residential lighting energy demand
# Source: Refer to India_bld disaggg
# Column types: ccccnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# ----------
state,sector,fuel,service,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
DL,resid urban,electricity,resid urban lighting,0.00354,0.00354,0.00354,0.00354,0.00354,0.00354,0.00354,0.00354,0.00354,0.00354,0.00354,0.00354,0.00354,0.00354,0.00354,0.00354,0.00354,0.00354,0.00354,0.00354,0.00354,0.00354,0.00354,0.00354,0.00354,0.00354,0.00354,0.00354,0.00354,0.00354,0.00354,0.00354,0.00354,0.00354,0.00354,0.00354,0.00354,0.00354,0.00354,0.00354
DN,resid urban,electricity,resid urban lighting,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004,0.00004
GA,resid urban,electricity,resid urban lighting,0.00023,0.00023,0.00023,0.00023,0.00023,0.00023,0.00023,0.00023,0.00023,0.00023,0.00023,0.00023,0.00023,0.00023,0.00023,0.00023,0.00023,0.00023,0.00023,0.00023,0.00023,0.00023,0.00023,0.00023,0.00023,0.00023,0.00023,0.00023,0.00023,0.00023,0.00023,0.00023,0.00023,0.00023,0.00023,0.00023,0.00023,0.00023,0.00023,0.00023
GJ,resid urban,electricity,resid urban lighting,0.00579,0.00579,0.00579,0.00579,0.00579,0.00579,0.00579,0.00579,0.00579,0.00579,0.00579,0.00579,0.00579,0.00579,0.00579,0.00579,0.00579,0.00579,0.00579,0.00579,0.00579,0.00579,0.00579,0.00579,0.00579,0.00579,0.00579,0.00579,0.00579,0.00579,0.00579,0.00579,0.00579,0.00579,0.00579,0.00579,0.00579,0.00579,0.00579,0.00579
HP,resid urban,electricity,resid urban lighting,0.00017,0.00017,0.00017,0.00017,0.00017,0.00017,0.00017,0.00017,0.00017,0.00017,0.00017,0.00017,0.00017,0.00017,0.00017,0.00017,0.00017,0.00017,0.00017,0.00017,0.00017,0.00017,0.00017,0.00017,0.00017,0.00017,0.00017,0.00017,0.00017,0.00017,0.00017,0.00017,0.00017,0.00017,0.00017,0.00017,0.00017,0.00017,0.00017,0.00017
HR,resid urban,electricity,resid urban lighting,0.00193,0.00193,0.00193,0.00193,0.00193,0.00193,0.00193,0.00193,0.00193,0.00193,0.00193,0.00193,0.00193,0.00193,0.00193,0.00193,0.00193,0.00193,0.00193,0.00193,0.00193,0.00193,0.00193,0.00193,0.00193,0.00193,0.00193,0.00193,0.00193,0.00193,0.00193,0.00193,0.00193,0.00193,0.00193,0.00193,0.00193,0.00193,0.00193,0.00193
JH,resid urban,electricity,resid urban lighting,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015,0.0015
JK,resid urban,electricity,resid urban lighting,0.00058,0.00058,0.00058,0.00058,0.00058,0.00058,0.00058,0.00058,0.00058,0.00058,0.00058,0.00058,0.00058,0.00058,0.00058,0.00058,0.00058,0.00058,0.00058,0.00058,0.00058,0.00058,0.00058,0.00058,0.00058,0.00058,0.00058,0.00058,0.00058,0.00058,0.00058,0.00058,0.00058,0.00058,0.00058,0.00058,0.00058,0.00058,0.00058,0.00058
KA,resid urban,electricity,resid urban lighting,0.00569,0.00569,0.00569,0.00569,0.00569,0.00569,0.00569,0.00569,0.00569,0.00569,0.00569,0.00569,0.00569,0.00569,0.00569,0.00569,0.00569,0.00569,0.00569,0.00569,0.00569,0.00569,0.00569,0.00569,0.00569,0.00569,0.00569,0.00569,0.00569,0.00569,0.00569,0.00569,0.00569,0.00569,0.00569,0.00569,0.00569,0.00569,0.00569,0.00569
KL,resid urban,electricity,resid urban lighting,0.00389,0.00389,0.00389,0.00389,0.00389,0.00389,0.00389,0.00389,0.00389,0.00389,0.00389,0.00389,0.00389,0.00389,0.00389,0.00389,0.00389,0.00389,0.00389,0.00389,0.00389,0.00389,0.00389,0.00389,0.00389,0.00389,0.00389,0.00389,0.00389,0.00389,0.00389,0.00389,0.00389,0.00389,0.00389,0.00389,0.00389,0.00389,0.00389,0.00389
