# File: A44.india_state_Floorspace.csv
# Title:Flrspc
# Units: billion m2
# Column types: ccccnn
# ----------
region,gcam.consumer,nodeInput,building.node.input,year,base.building.size
DL,resid rural,resid rural,resid rural_building,2080,0.496309677
DL,resid rural,resid rural,resid rural_building,2085,0.480258065
DL,resid rural,resid rural,resid rural_building,2090,0.460496774
DL,resid rural,resid rural,resid rural_building,2095,0.438625806
DL,resid rural,resid rural,resid rural_building,2100,0.415854839
DL,resid urban,resid urban,resid urban_building,2015,0.175582258
DL,resid urban,resid urban,resid urban_building,2020,0.218273226
DL,resid urban,resid urban,resid urban_building,2025,0.272133871
DL,resid urban,resid urban,resid urban_building,2030,0.338141935
DL,resid urban,resid urban,resid urban_building,2035,0.418203226
DL,resid urban,resid urban,resid urban_building,2040,0.50976129
DL,resid urban,resid urban,resid urban_building,2045,0.61436129
DL,resid urban,resid urban,resid urban_building,2050,0.724883871
DL,resid urban,resid urban,resid urban_building,2055,0.844070968
DL,resid urban,resid urban,resid urban_building,2060,0.969683871
DL,resid urban,resid urban,resid urban_building,2065,1.072616129
DL,resid urban,resid urban,resid urban_building,2070,1.163229032
DL,resid urban,resid urban,resid urban_building,2075,1.2296
DL,resid urban,resid urban,resid urban_building,2080,1.2786
DL,resid urban,resid urban,resid urban_building,2085,1.31913871
DL,resid urban,resid urban,resid urban_building,2090,1.353267742
DL,resid urban,resid urban,resid urban_building,2095,1.377764516
DL,resid urban,resid urban,resid urban_building,2100,1.396648387
DL,comm,comm,comm_building,2015,0.027809581
DL,comm,comm,comm_building,2020,0.038195161
DL,comm,comm,comm_building,2025,0.052202258
DL,comm,comm,comm_building,2030,0.071305161
DL,comm,comm,comm_building,2035,0.095486129
DL,comm,comm,comm_building,2040,0.126773548
DL,comm,comm,comm_building,2045,0.163755161
DL,comm,comm,comm_building,2050,0.206638065
DL,comm,comm,comm_building,2055,0.250244516
DL,comm,comm,comm_building,2060,0.300224516
DL,comm,comm,comm_building,2065,0.352758065
DL,comm,comm,comm_building,2070,0.403906452
DL,comm,comm,comm_building,2075,0.443496774
DL,comm,comm,comm_building,2080,0.471303226
DL,comm,comm,comm_building,2085,0.498319355
DL,comm,comm,comm_building,2090,0.522551613
DL,comm,comm,comm_building,2095,0.543041935
DL,comm,comm,comm_building,2100,0.559835484
DD,resid rural,resid rural,resid rural_building,2015,0.307122903
DD,resid rural,resid rural,resid rural_building,2020,0.341870968
DD,resid rural,resid rural,resid rural_building,2025,0.363151613
DD,resid rural,resid rural,resid rural_building,2030,0.386648387
DD,resid rural,resid rural,resid rural_building,2035,0.409619355
DD,resid rural,resid rural,resid rural_building,2040,0.438270968
DD,resid rural,resid rural,resid rural_building,2045,0.463454839
DD,resid rural,resid rural,resid rural_building,2050,0.488470968
DD,resid rural,resid rural,resid rural_building,2055,0.494483871
DD,resid rural,resid rural,resid rural_building,2060,0.49623871
DD,resid rural,resid rural,resid rural_building,2065,0.509696774
DD,resid rural,resid rural,resid rural_building,2070,0.516206452
DD,resid rural,resid rural,resid rural_building,2075,0.511277419
DD,resid rural,resid rural,resid rural_building,2080,0.496309677
DD,resid rural,resid rural,resid rural_building,2085,0.480258065
DD,resid rural,resid rural,resid rural_building,2090,0.460496774
DD,resid rural,resid rural,resid rural_building,2095,0.438625806
DD,resid rural,resid rural,resid rural_building,2100,0.415854839
DD,resid urban,resid urban,resid urban_building,2015,0.175582258
DD,resid urban,resid urban,resid urban_building,2020,0.218273226
DD,resid urban,resid urban,resid urban_building,2025,0.272133871
DD,resid urban,resid urban,resid urban_building,2030,0.338141935
DD,resid urban,resid urban,resid urban_building,2035,0.418203226
DD,resid urban,resid urban,resid urban_building,2040,0.50976129
DD,resid urban,resid urban,resid urban_building,2045,0.61436129
DD,resid urban,resid urban,resid urban_building,2050,0.724883871
DD,resid urban,resid urban,resid urban_building,2055,0.844070968
DD,resid urban,resid urban,resid urban_building,2060,0.969683871
DD,resid urban,resid urban,resid urban_building,2065,1.072616129
DD,resid urban,resid urban,resid urban_building,2070,1.163229032
DD,resid urban,resid urban,resid urban_building,2075,1.2296
DD,resid urban,resid urban,resid urban_building,2080,1.2786
DD,resid urban,resid urban,resid urban_building,2085,1.31913871
DD,resid urban,resid urban,resid urban_building,2090,1.353267742
DD,resid urban,resid urban,resid urban_building,2095,1.377764516
DD,resid urban,resid urban,resid urban_building,2100,1.396648387
DD,comm,comm,comm_building,2015,0.027809581
DD,comm,comm,comm_building,2020,0.038195161
DD,comm,comm,comm_building,2025,0.052202258
DD,comm,comm,comm_building,2030,0.071305161
DD,comm,comm,comm_building,2035,0.095486129
DD,comm,comm,comm_building,2040,0.126773548
DD,comm,comm,comm_building,2045,0.163755161
DD,comm,comm,comm_building,2050,0.206638065
DD,comm,comm,comm_building,2055,0.250244516
DD,comm,comm,comm_building,2060,0.300224516
DD,comm,comm,comm_building,2065,0.352758065
DD,comm,comm,comm_building,2070,0.403906452
DD,comm,comm,comm_building,2075,0.443496774
DD,comm,comm,comm_building,2080,0.471303226
DD,comm,comm,comm_building,2085,0.498319355
DD,comm,comm,comm_building,2090,0.522551613
DD,comm,comm,comm_building,2095,0.543041935
DD,comm,comm,comm_building,2100,0.559835484
DN,resid rural,resid rural,resid rural_building,2015,0.307122903
DN,resid rural,resid rural,resid rural_building,2020,0.341870968
DN,resid rural,resid rural,resid rural_building,2025,0.363151613
DN,resid rural,resid rural,resid rural_building,2030,0.386648387
DN,resid rural,resid rural,resid rural_building,2035,0.409619355
DN,resid rural,resid rural,resid rural_building,2040,0.438270968
DN,resid rural,resid rural,resid rural_building,2045,0.463454839
DN,resid rural,resid rural,resid rural_building,2050,0.488470968
DN,resid rural,resid rural,resid rural_building,2055,0.494483871
DN,resid rural,resid rural,resid rural_building,2060,0.49623871
DN,resid rural,resid rural,resid rural_building,2065,0.509696774
DN,resid rural,resid rural,resid rural_building,2070,0.516206452
DN,resid rural,resid rural,resid rural_building,2075,0.511277419
DN,resid rural,resid rural,resid rural_building,2080,0.496309677
DN,resid rural,resid rural,resid rural_building,2085,0.480258065
DN,resid rural,resid rural,resid rural_building,2090,0.460496774
DN,resid rural,resid rural,resid rural_building,2095,0.438625806
DN,resid rural,resid rural,resid rural_building,2100,0.415854839
DN,resid urban,resid urban,resid urban_building,2015,0.175582258
