# File: A54.india_state_StubTranTechCost.csv
# Title: Non-energy sub technology transport cost at state level
# Units: 1990$/vkm
# Column types: ccccnnnnnnnnnnnnnnnnnnn
# ----------
region,supplysector,tranSubsector,stub.technology,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
TS,trn_pass_road_LDV_2W,LDV_2W,Electric,0.09043439,0.080223434,0.071165398,0.063130105,0.058204201,0.055923784,0.055139764,0.054801749,0.053906877,0.0536284,0.053417958,0.053274658,0.053197867,0.053187206,0.053242551,0.053364029,0.05355202,0.053807155,0.053807155
UK,trn_pass_road_LDV_2W,LDV_2W,Electric,0.089654309,0.079529147,0.070547476,0.062580155,0.057698246,0.055438067,0.054660848,0.054325628,0.053433551,0.053157575,0.052949023,0.05280701,0.052730908,0.052720343,0.052775191,0.052895578,0.053081881,0.053334724,0.053334724
UP,trn_pass_road_LDV_2W,LDV_2W,Electric,0.088094149,0.078140573,0.069311631,0.061480253,0.056686337,0.054466634,0.053703015,0.053373386,0.0524869,0.052215925,0.052011153,0.051871714,0.051796991,0.051786617,0.051840471,0.051958677,0.052141602,0.052389864,0.052389864
WB,trn_pass_road_LDV_2W,LDV_2W,Electric,0.087080046,0.077238001,0.068508332,0.060765317,0.056028596,0.053835203,0.053080423,0.052754428,0.051871576,0.051603853,0.051401537,0.051263771,0.051189945,0.051179696,0.051232904,0.051349691,0.051530422,0.051775704,0.051775704
AN,trn_pass_road_LDV_4W,LDV_4W,Liquids,0.481249059,0.495612929,0.510405519,0.525639623,0.541330751,0.557492613,0.57413933,0.59128545,0.608945952,0.608945952,0.608945952,0.608945952,0.608945952,0.608945952,0.608945952,0.608945952,0.608945952,0.608945952,0.608945952
AP,trn_pass_road_LDV_4W,LDV_4W,Liquids,0.524428578,0.540087836,0.556214673,0.572823052,0.589929683,0.607549513,0.625697937,0.644390815,0.663644478,0.663644478,0.663644478,0.663644478,0.663644478,0.663644478,0.663644478,0.663644478,0.663644478,0.663644478,0.663644478
AR,trn_pass_road_LDV_4W,LDV_4W,Liquids,0.482158102,0.496549243,0.511369922,0.526632959,0.542353887,0.558546442,0.575224775,0.592403457,0.6100975,0.6100975,0.6100975,0.6100975,0.6100975,0.6100975,0.6100975,0.6100975,0.6100975,0.6100975,0.6100975
AS,trn_pass_road_LDV_4W,LDV_4W,Liquids,0.497157303,0.511998421,0.527282576,0.543022992,0.559235621,0.575934629,0.593134607,0.610850584,0.629098041,0.629098041,0.629098041,0.629098041,0.629098041,0.629098041,0.629098041,0.629098041,0.629098041,0.629098041,0.629098041
BR,trn_pass_road_LDV_4W,LDV_4W,Liquids,0.51079294,0.526043128,0.541748624,0.557923022,0.574582652,0.591742071,0.609416272,0.627620699,0.64637126,0.64637126,0.64637126,0.64637126,0.64637126,0.64637126,0.64637126,0.64637126,0.64637126,0.64637126,0.64637126
CG,trn_pass_road_LDV_4W,LDV_4W,Liquids,0.506247728,0.521361559,0.536926608,0.552956345,0.569466975,0.586472923,0.60398905,0.622030661,0.64061352,0.64061352,0.64061352,0.64061352,0.64061352,0.64061352,0.64061352,0.64061352,0.64061352,0.64061352,0.64061352
CH,trn_pass_road_LDV_4W,LDV_4W,Liquids,0.497157303,0.511998421,0.527282576,0.543022992,0.559235621,0.575934629,0.593134607,0.610850584,0.629098041,0.629098041,0.629098041,0.629098041,0.629098041,0.629098041,0.629098041,0.629098041,0.629098041,0.629098041,0.629098041
DD,trn_pass_road_LDV_4W,LDV_4W,Liquids,0.481249059,0.495612929,0.510405519,0.525639623,0.541330751,0.557492613,0.57413933,0.59128545,0.608945952,0.608945952,0.608945952,0.608945952,0.608945952,0.608945952,0.608945952,0.608945952,0.608945952,0.608945952,0.608945952
DL,trn_pass_road_LDV_4W,LDV_4W,Liquids,0.49261209,0.507316852,0.522460559,0.538056315,0.554119944,0.570665481,0.587707385,0.605260546,0.623340301,0.623340301,0.623340301,0.623340301,0.623340301,0.623340301,0.623340301,0.623340301,0.623340301,0.623340301,0.623340301
DN,trn_pass_road_LDV_4W,LDV_4W,Liquids,0.481249059,0.495612929,0.510405519,0.525639623,0.541330751,0.557492613,0.57413933,0.59128545,0.608945952,0.608945952,0.608945952,0.608945952,0.608945952,0.608945952,0.608945952,0.608945952,0.608945952,0.608945952,0.608945952
GA,trn_pass_road_LDV_4W,LDV_4W,Liquids,0.51079294,0.526043128,0.541748624,0.557923022,0.574582652,0.591742071,0.609416272,0.627620699,0.64637126,0.64637126,0.64637126,0.64637126,0.64637126,0.64637126,0.64637126,0.64637126,0.64637126,0.64637126,0.64637126
GJ,trn_pass_road_LDV_4W,LDV_4W,Liquids,0.497157303,0.511998421,0.527282576,0.543022992,0.559235621,0.575934629,0.593134607,0.610850584,0.629098041,0.629098041,0.629098041,0.629098041,0.629098041,0.629098041,0.629098041,0.629098041,0.629098041,0.629098041,0.629098041
HP,trn_pass_road_LDV_4W,LDV_4W,Liquids,0.483521665,0.497953714,0.512816527,0.528122962,0.54388859,0.560127187,0.576852941,0.594080469,0.611824822,0.611824822,0.611824822,0.611824822,0.611824822,0.611824822,0.611824822,0.611824822,0.611824822,0.611824822,0.611824822
HR,trn_pass_road_LDV_4W,LDV_4W,Liquids,0.49261209,0.507316852,0.522460559,0.538056315,0.554119944,0.570665481,0.587707385,0.605260546,0.623340301,0.623340301,0.623340301,0.623340301,0.623340301,0.623340301,0.623340301,0.623340301,0.623340301,0.623340301,0.623340301
JH,trn_pass_road_LDV_4W,LDV_4W,Liquids,0.497157303,0.511998421,0.527282576,0.543022992,0.559235621,0.575934629,0.593134607,0.610850584,0.629098041,0.629098041,0.629098041,0.629098041,0.629098041,0.629098041,0.629098041,0.629098041,0.629098041,0.629098041,0.629098041
JK,trn_pass_road_LDV_4W,LDV_4W,Liquids,0.51079294,0.526043128,0.541748624,0.557923022,0.574582652,0.591742071,0.609416272,0.627620699,0.64637126,0.64637126,0.64637126,0.64637126,0.64637126,0.64637126,0.64637126,0.64637126,0.64637126,0.64637126,0.64637126
KA,trn_pass_road_LDV_4W,LDV_4W,Liquids,0.528973791,0.544769405,0.561036689,0.577789729,0.59504536,0.61281866,0.631125159,0.649980853,0.669402218,0.669402218,0.669402218,0.669402218,0.669402218,0.669402218,0.669402218,0.669402218,0.669402218,0.669402218,0.669402218
KL,trn_pass_road_LDV_4W,LDV_4W,Liquids,0.51079294,0.526043128,0.541748624,0.557923022,0.574582652,0.591742071,0.609416272,0.627620699,0.64637126,0.64637126,0.64637126,0.64637126,0.64637126,0.64637126,0.64637126,0.64637126,0.64637126,0.64637126,0.64637126
