# File: A00.india_state_laborforce.csv
# Title: Estimated labour force projections
# Units: NA
# Description: Estimated to correct the trajectory of GDP growth rates
# Column types: cin
# ----------
region,year,laborforce
MH,2100,0.252540076
ML,1975,0.5
ML,1990,0.5
ML,2005,0.5
ML,2010,0.360000237
ML,2015,0.356999429
ML,2020,0.296233065
ML,2025,0.318764407
ML,2030,0.341283023
ML,2035,0.360852492
ML,2040,0.377056475
ML,2045,0.384944519
ML,2050,0.383877722
ML,2055,0.378251235
ML,2060,0.370136632
ML,2065,0.358725599
ML,2070,0.345348899
ML,2075,0.329653945
ML,2080,0.312288673
ML,2085,0.292675176
ML,2090,0.271937478
ML,2095,0.251042153
ML,2100,0.23346793
MN,1975,0.5
MN,1990,0.5
MN,2005,0.5
MN,2010,0.379999898
MN,2015,0.376999805
MN,2020,0.319627192
MN,2025,0.3427468
MN,2030,0.365487784
MN,2035,0.387282367
MN,2040,0.406417294
MN,2045,0.417132547
MN,2050,0.418602344
MN,2055,0.416486947
MN,2060,0.413434338
MN,2065,0.40817375
MN,2070,0.40220113
MN,2075,0.394917403
MN,2080,0.386683274
MN,2085,0.376594454
MN,2090,0.365698906
MN,2095,0.355071857
MN,2100,0.3496472
MP,1975,0.5
MP,1990,0.5
MP,2005,0.5
MP,2010,0.339999901
MP,2015,0.345000065
MP,2020,0.288665189
MP,2025,0.316877604
MP,2030,0.345670899
MP,2035,0.372414598
MP,2040,0.39605674
MP,2045,0.411169772
MP,2050,0.416401527
MP,2055,0.412886533
MP,2060,0.405413431
MP,2065,0.393702863
MP,2070,0.379364348
MP,2075,0.361941795
MP,2080,0.342289629
MP,2085,0.319757028
MP,2090,0.295827013
MP,2095,0.271524425
MP,2100,0.250747755
MZ,1975,0.5
MZ,1990,0.5
MZ,2005,0.5
MZ,2010,0.219999853
MZ,2015,0.218000112
MZ,2020,0.184353277
MZ,2025,0.197162798
MZ,2030,0.209927565
MZ,2035,0.220796525
MZ,2040,0.229956787
MZ,2045,0.23423272
MZ,2050,0.233162093
MZ,2055,0.230051773
MZ,2060,0.226076056
MZ,2065,0.220936728
MZ,2070,0.21519958
MZ,2075,0.208556736
MZ,2080,0.201486108
MZ,2085,0.193281772
MZ,2090,0.184431154
MZ,2095,0.175886338
MZ,2100,0.169569287
NL,1975,0.5
NL,1990,0.5
NL,2005,0.5
NL,2010,0.260000564
NL,2015,0.258000285
NL,2020,0.214568313
NL,2025,0.224933426
NL,2030,0.234888411
NL,2035,0.24327926
NL,2040,0.249462815
NL,2045,0.250488231
NL,2050,0.246051502
NL,2055,0.240536509
NL,2060,0.234722362
NL,2065,0.227792307
NL,2070,0.220424842
NL,2075,0.212296783
NL,2080,0.20388693
NL,2085,0.194364662
NL,2090,0.18463767
NL,2095,0.175018747
NL,2100,0.167916504
OD,1975,0.5
OD,1990,0.5
OD,2005,0.5
OD,2010,0.440000761
OD,2015,0.40400052
OD,2020,0.325283477
OD,2025,0.366555237
OD,2030,0.409096741
OD,2035,0.449322894
OD,2040,0.486068105
OD,2045,0.512324823
OD,2050,0.525805446
OD,2055,0.524868435
OD,2060,0.517694488
OD,2065,0.504554285
OD,2070,0.487488775
OD,2075,0.465924494
OD,2080,0.440994806
OD,2085,0.411930475
OD,2090,0.380708169
OD,2095,0.348736581
OD,2100,0.321107626
PB,1975,0.5
PB,1990,0.5
PB,2005,0.5
PB,2010,0.449999425
PB,2015,0.410000371
PB,2020,0.327363946
PB,2025,0.366263008
PB,2030,0.406027719
PB,2035,0.441306708
PB,2040,0.472096383
PB,2045,0.492236231
PB,2050,0.499899777
PB,2055,0.495973839
PB,2060,0.48667042
PB,2065,0.471759461
PB,2070,0.453271293
PB,2075,0.430707701
PB,2080,0.405222419
PB,2085,0.376150432
PB,2090,0.345411062
PB,2095,0.314298824
PB,2100,0.28740521
PC,1975,0.5
PC,1990,0.5
