# File: A23.india_state_tech_eff.csv
# Title: India efficiencies by fuel and electric sector
# Units: Unitless efficiency (electricity out / energy in)
# Source: Assumption from India Data
# Comments: Correction for coal use in base years
# Column types: ccccccnnnn
# ----------
region,supplysector,subsector,stub.technology,minicam.energy.input,market.name,1975,1990,2005,2010
LA,electricity,gas,gas (steam/CT),wholesale gas,Northern,0.141405,0.247442,0.33,0.376667869
LA,electricity,gas,gas (CC),wholesale gas,Northern,0.45,0.45,0.54363,0.57608
LA,electricity,refined liquids,refined liquids (steam/CT),refined liquids industrial,Northern,0.2,0.240573,0.249086,0.202075
LA,electricity,biomass,biomass (conv),regional biomass,Northern,0.33,0.33,0.150072,0.149919
LD,electricity,coal,coal (conv pul),regional coal,Southern,0.287589,0.296496,0.26684,0.278752
LD,electricity,gas,gas (steam/CT),wholesale gas,Southern,0.141405,0.247442,0.33,0.376667869
LD,electricity,gas,gas (CC),wholesale gas,Southern,0.45,0.45,0.54363,0.57608
LD,electricity,refined liquids,refined liquids (steam/CT),refined liquids industrial,Southern,0.2,0.240573,0.249086,0.202075
LD,electricity,biomass,biomass (conv),regional biomass,Southern,0.33,0.33,0.150072,0.149919
PC,electricity,coal,coal (conv pul),regional coal,Southern,0.287589,0.296496,0.26684,0.278752
PC,electricity,gas,gas (steam/CT),wholesale gas,Southern,0.141405,0.247442,0.33,0.624255006
PC,electricity,gas,gas (CC),wholesale gas,Southern,0.45,0.45,0.54363,0.57608
PC,electricity,refined liquids,refined liquids (steam/CT),refined liquids industrial,Southern,0.2,0.240573,0.249086,0.202075
PC,electricity,biomass,biomass (conv),regional biomass,Southern,0.33,0.33,0.150072,0.149919
