INPUT_TABLE,,,,,,,,
Variable ID,,,,,,,,
IndiaIndTechInterp_new,,,,,,,,
,,,,,,,,
region,supplysector,subsector,apply.to,from.year,to.year,from.value,to-value,interpolation.function
RJ,Chem_Fert_enuse,gas,share-weight,2030,2050,0,0,linear
SK,Chem_Fert_enuse,gas,share-weight,2030,2050,0,0,linear
TN,Chem_Fert_enuse,gas,share-weight,2030,2050,0,0,linear
TR,Chem_Fert_enuse,gas,share-weight,2030,2050,0,0,linear
TS,Chem_Fert_enuse,gas,share-weight,2030,2050,0,0,linear
UK,Chem_Fert_enuse,gas,share-weight,2030,2050,0,0,linear
UP,Chem_Fert_enuse,gas,share-weight,2030,2050,0,0,linear
WB,Chem_Fert_enuse,gas,share-weight,2030,2050,0,0,linear
AN,Chem_Fert_enuse,gas,share-weight,2045,2100,0,0,fixed
AP,Chem_Fert_enuse,gas,share-weight,2045,2100,0,0,fixed
AR,Chem_Fert_enuse,gas,share-weight,2045,2100,0,0,fixed
AS,Chem_Fert_enuse,gas,share-weight,2045,2100,0,0,fixed
BR,Chem_Fert_enuse,gas,share-weight,2045,2100,0,0,fixed
CG,Chem_Fert_enuse,gas,share-weight,2045,2100,0,0,fixed
CH,Chem_Fert_enuse,gas,share-weight,2045,2100,0,0,fixed
DD,Chem_Fert_enuse,gas,share-weight,2045,2100,0,0,fixed
DL,Chem_Fert_enuse,gas,share-weight,2045,2100,0,0,fixed
DN,Chem_Fert_enuse,gas,share-weight,2045,2100,0,0,fixed
GA,Chem_Fert_enuse,gas,share-weight,2045,2100,0,0,fixed
GJ,Chem_Fert_enuse,gas,share-weight,2045,2100,0,0,fixed
HP,Chem_Fert_enuse,gas,share-weight,2045,2100,0,0,fixed
HR,Chem_Fert_enuse,gas,share-weight,2045,2100,0,0,fixed
JH,Chem_Fert_enuse,gas,share-weight,2045,2100,0,0,fixed
JK,Chem_Fert_enuse,gas,share-weight,2045,2100,0,0,fixed
KA,Chem_Fert_enuse,gas,share-weight,2045,2100,0,0,fixed
KL,Chem_Fert_enuse,gas,share-weight,2045,2100,0,0,fixed
LA,Chem_Fert_enuse,gas,share-weight,2045,2100,0,0,fixed
LD,Chem_Fert_enuse,gas,share-weight,2045,2100,0,0,fixed
MH,Chem_Fert_enuse,gas,share-weight,2045,2100,0,0,fixed
ML,Chem_Fert_enuse,gas,share-weight,2045,2100,0,0,fixed
MN,Chem_Fert_enuse,gas,share-weight,2045,2100,0,0,fixed
MP,Chem_Fert_enuse,gas,share-weight,2045,2100,0,0,fixed
MZ,Chem_Fert_enuse,gas,share-weight,2045,2100,0,0,fixed
NL,Chem_Fert_enuse,gas,share-weight,2045,2100,0,0,fixed
OD,Chem_Fert_enuse,gas,share-weight,2045,2100,0,0,fixed
PB,Chem_Fert_enuse,gas,share-weight,2045,2100,0,0,fixed
PC,Chem_Fert_enuse,gas,share-weight,2045,2100,0,0,fixed
RJ,Chem_Fert_enuse,gas,share-weight,2045,2100,0,0,fixed
SK,Chem_Fert_enuse,gas,share-weight,2045,2100,0,0,fixed
TN,Chem_Fert_enuse,gas,share-weight,2045,2100,0,0,fixed
TR,Chem_Fert_enuse,gas,share-weight,2045,2100,0,0,fixed
TS,Chem_Fert_enuse,gas,share-weight,2045,2100,0,0,fixed
UK,Chem_Fert_enuse,gas,share-weight,2045,2100,0,0,fixed
UP,Chem_Fert_enuse,gas,share-weight,2045,2100,0,0,fixed
WB,Chem_Fert_enuse,gas,share-weight,2045,2100,0,0,fixed
AN,Chem_Fert_enuse,refined liquids,share-weight,2030,2050,0.06,0.0001,linear
AP,Chem_Fert_enuse,refined liquids,share-weight,2030,2050,0.06,0.0001,linear
AR,Chem_Fert_enuse,refined liquids,share-weight,2030,2050,0.06,0.0001,linear
AS,Chem_Fert_enuse,refined liquids,share-weight,2030,2050,0.06,0.0001,linear
BR,Chem_Fert_enuse,refined liquids,share-weight,2030,2050,0.06,0.0001,linear
CG,Chem_Fert_enuse,refined liquids,share-weight,2030,2050,0.06,0.0001,linear
CH,Chem_Fert_enuse,refined liquids,share-weight,2030,2050,0.06,0.0001,linear
DD,Chem_Fert_enuse,refined liquids,share-weight,2030,2050,0.06,0.0001,linear
DL,Chem_Fert_enuse,refined liquids,share-weight,2030,2050,0.06,0.0001,linear
