INPUT_TABLE,,,,,,
Variable ID,,,,,,
RegionTechCost,,,,,,
,,,,,,
Region,sector.name,subsector.name,technology,year,minicam.non.energy.input,input.cost
LD,process heat cement,biomass,biomass,2010,non-energy,28.0921056
MH,process heat cement,biomass,biomass,2010,non-energy,28.0921056
ML,process heat cement,biomass,biomass,2010,non-energy,28.0921056
MN,process heat cement,biomass,biomass,2010,non-energy,28.0921056
MP,process heat cement,biomass,biomass,2010,non-energy,28.0921056
MZ,process heat cement,biomass,biomass,2010,non-energy,28.0921056
NL,process heat cement,biomass,biomass,2010,non-energy,28.0921056
OD,process heat cement,biomass,biomass,2010,non-energy,25.78058886
PB,process heat cement,biomass,biomass,2010,non-energy,28.0921056
PC,process heat cement,biomass,biomass,2010,non-energy,28.0921056
RJ,process heat cement,biomass,biomass,2010,non-energy,28.0921056
SK,process heat cement,biomass,biomass,2010,non-energy,28.0921056
TN,process heat cement,biomass,biomass,2010,non-energy,31.28647892
TR,process heat cement,biomass,biomass,2010,non-energy,28.0921056
TS,process heat cement,biomass,biomass,2010,non-energy,28.0921056
UK,process heat cement,biomass,biomass,2010,non-energy,34.52246796
UP,process heat cement,biomass,biomass,2010,non-energy,34.4514741
WB,process heat cement,biomass,biomass,2010,non-energy,28.0921056
AN,process heat cement,coal,coal,2010,non-energy,38.8761555
AP,process heat cement,coal,coal,2010,non-energy,38.8761555
AR,process heat cement,coal,coal,2010,non-energy,38.3382955
AS,process heat cement,coal,coal,2010,non-energy,38.3382955
BR,process heat cement,coal,coal,2010,non-energy,38.6550655
CG,process heat cement,coal,coal,2010,non-energy,38.8655755
CH,process heat cement,coal,coal,2010,non-energy,38.4777355
DD,process heat cement,coal,coal,2010,non-energy,38.8655755
DL,process heat cement,coal,coal,2010,non-energy,38.4777355
DN,process heat cement,coal,coal,2010,non-energy,38.8655755
GA,process heat cement,coal,coal,2010,non-energy,38.8655755
GJ,process heat cement,coal,coal,2010,non-energy,26.49040425
HP,process heat cement,coal,coal,2010,non-energy,38.4777355
HR,process heat cement,coal,coal,2010,non-energy,38.4777355
JH,process heat cement,coal,coal,2010,non-energy,38.6550655
JK,process heat cement,coal,coal,2010,non-energy,38.4777355
KA,process heat cement,coal,coal,2010,non-energy,38.8761555
KL,process heat cement,coal,coal,2010,non-energy,38.8761555
LA,process heat cement,coal,coal,2010,non-energy,38.4777355
LD,process heat cement,coal,coal,2010,non-energy,38.8761555
MH,process heat cement,coal,coal,2010,non-energy,38.8655755
ML,process heat cement,coal,coal,2010,non-energy,38.3382955
MN,process heat cement,coal,coal,2010,non-energy,38.3382955
MP,process heat cement,coal,coal,2010,non-energy,38.8655755
MZ,process heat cement,coal,coal,2010,non-energy,38.3382955
NL,process heat cement,coal,coal,2010,non-energy,38.3382955
OD,process heat cement,coal,coal,2010,non-energy,29.40121279
PB,process heat cement,coal,coal,2010,non-energy,38.4777355
PC,process heat cement,coal,coal,2010,non-energy,38.8761555
RJ,process heat cement,coal,coal,2010,non-energy,38.4777355
SK,process heat cement,coal,coal,2010,non-energy,38.6550655
TN,process heat cement,coal,coal,2010,non-energy,39.43354444
TR,process heat cement,coal,coal,2010,non-energy,38.3382955
TS,process heat cement,coal,coal,2010,non-energy,38.8761555
UK,process heat cement,coal,coal,2010,non-energy,46.08792156
UP,process heat cement,coal,coal,2010,non-energy,46.99029153
WB,process heat cement,coal,coal,2010,non-energy,38.6550655
AN,process heat cement,gas,gas,2010,non-energy,64.57382004
AP,process heat cement,gas,gas,2010,non-energy,64.57382004
AR,process heat cement,gas,gas,2010,non-energy,64.54970004
AS,process heat cement,gas,gas,2010,non-energy,64.54970004
BR,process heat cement,gas,gas,2010,non-energy,64.25956004
CG,process heat cement,gas,gas,2010,non-energy,64.50891004
CH,process heat cement,gas,gas,2010,non-energy,64.34989004
DD,process heat cement,gas,gas,2010,non-energy,64.50891004
DL,process heat cement,gas,gas,2010,non-energy,64.34989004
DN,process heat cement,gas,gas,2010,non-energy,64.50891004
GA,process heat cement,gas,gas,2010,non-energy,64.50891004
GJ,process heat cement,gas,gas,2010,non-energy,60.12387522
HP,process heat cement,gas,gas,2010,non-energy,64.34989004
HR,process heat cement,gas,gas,2010,non-energy,64.34989004
JH,process heat cement,gas,gas,2010,non-energy,64.25956004
JK,process heat cement,gas,gas,2010,non-energy,64.34989004
KA,process heat cement,gas,gas,2010,non-energy,64.57382004
KL,process heat cement,gas,gas,2010,non-energy,64.57382004
LA,process heat cement,gas,gas,2010,non-energy,64.34989004
LD,process heat cement,gas,gas,2010,non-energy,64.57382004
MH,process heat cement,gas,gas,2010,non-energy,64.50891004
ML,process heat cement,gas,gas,2010,non-energy,64.54970004
MN,process heat cement,gas,gas,2010,non-energy,64.54970004
MP,process heat cement,gas,gas,2010,non-energy,64.50891004
MZ,process heat cement,gas,gas,2010,non-energy,64.54970004
NL,process heat cement,gas,gas,2010,non-energy,64.54970004
OD,process heat cement,gas,gas,2010,non-energy,69.58284192
PB,process heat cement,gas,gas,2010,non-energy,64.34989004
PC,process heat cement,gas,gas,2010,non-energy,64.57382004
RJ,process heat cement,gas,gas,2010,non-energy,64.34989004
SK,process heat cement,gas,gas,2010,non-energy,64.25956004
TN,process heat cement,gas,gas,2010,non-energy,72.04179631
TR,process heat cement,gas,gas,2010,non-energy,64.54970004
TS,process heat cement,gas,gas,2010,non-energy,64.57382004
UK,process heat cement,gas,gas,2010,non-energy,77.35245765
UP,process heat cement,gas,gas,2010,non-energy,75.25446372
WB,process heat cement,gas,gas,2010,non-energy,64.25956004
AN,process heat cement,refined liquids,refined liquids,2010,non-energy,50.94457375
AP,process heat cement,refined liquids,refined liquids,2010,non-energy,50.94457375
AR,process heat cement,refined liquids,refined liquids,2010,non-energy,50.94457375
AS,process heat cement,refined liquids,refined liquids,2010,non-energy,50.94457375
BR,process heat cement,refined liquids,refined liquids,2010,non-energy,50.94457375
CG,process heat cement,refined liquids,refined liquids,2010,non-energy,50.94457375
CH,process heat cement,refined liquids,refined liquids,2010,non-energy,50.94457375
DD,process heat cement,refined liquids,refined liquids,2010,non-energy,50.94457375
DL,process heat cement,refined liquids,refined liquids,2010,non-energy,50.94457375
DN,process heat cement,refined liquids,refined liquids,2010,non-energy,50.94457375
GA,process heat cement,refined liquids,refined liquids,2010,non-energy,50.94457375
GJ,process heat cement,refined liquids,refined liquids,2010,non-energy,48.31525288
HP,process heat cement,refined liquids,refined liquids,2010,non-energy,50.94457375
HR,process heat cement,refined liquids,refined liquids,2010,non-energy,50.94457375
JH,process heat cement,refined liquids,refined liquids,2010,non-energy,50.94457375
JK,process heat cement,refined liquids,refined liquids,2010,non-energy,50.94457375
KA,process heat cement,refined liquids,refined liquids,2010,non-energy,50.94457375
KL,process heat cement,refined liquids,refined liquids,2010,non-energy,50.94457375
LA,process heat cement,refined liquids,refined liquids,2010,non-energy,50.94457375
LD,process heat cement,refined liquids,refined liquids,2010,non-energy,50.94457375
MH,process heat cement,refined liquids,refined liquids,2010,non-energy,50.94457375
ML,process heat cement,refined liquids,refined liquids,2010,non-energy,50.94457375
MN,process heat cement,refined liquids,refined liquids,2010,non-energy,50.94457375
MP,process heat cement,refined liquids,refined liquids,2010,non-energy,50.94457375
MZ,process heat cement,refined liquids,refined liquids,2010,non-energy,50.94457375
NL,process heat cement,refined liquids,refined liquids,2010,non-energy,50.94457375
OD,process heat cement,refined liquids,refined liquids,2010,non-energy,42.50215622
PB,process heat cement,refined liquids,refined liquids,2010,non-energy,50.94457375
PC,process heat cement,refined liquids,refined liquids,2010,non-energy,50.94457375
RJ,process heat cement,refined liquids,refined liquids,2010,non-energy,50.94457375
SK,process heat cement,refined liquids,refined liquids,2010,non-energy,50.94457375
TN,process heat cement,refined liquids,refined liquids,2010,non-energy,57.54858084
TR,process heat cement,refined liquids,refined liquids,2010,non-energy,50.94457375
TS,process heat cement,refined liquids,refined liquids,2010,non-energy,50.94457375
UK,process heat cement,refined liquids,refined liquids,2010,non-energy,61.89229796
UP,process heat cement,refined liquids,refined liquids,2010,non-energy,52.33865832
WB,process heat cement,refined liquids,refined liquids,2010,non-energy,50.94457375
AN,Chem_Fert,Chem_Fert,Chem_Fert,2010,non-energy,2045.593287
AP,Chem_Fert,Chem_Fert,Chem_Fert,2010,non-energy,2045.593287
AR,Chem_Fert,Chem_Fert,Chem_Fert,2010,non-energy,2045.593287
AS,Chem_Fert,Chem_Fert,Chem_Fert,2010,non-energy,2045.593287
BR,Chem_Fert,Chem_Fert,Chem_Fert,2010,non-energy,2045.593287
CG,Chem_Fert,Chem_Fert,Chem_Fert,2010,non-energy,2045.593287
CH,Chem_Fert,Chem_Fert,Chem_Fert,2010,non-energy,2045.593287
DD,Chem_Fert,Chem_Fert,Chem_Fert,2010,non-energy,2045.593287
DL,Chem_Fert,Chem_Fert,Chem_Fert,2010,non-energy,2045.593287
DN,Chem_Fert,Chem_Fert,Chem_Fert,2010,non-energy,2045.593287
GA,Chem_Fert,Chem_Fert,Chem_Fert,2010,non-energy,2045.593287
GJ,Chem_Fert,Chem_Fert,Chem_Fert,2010,non-energy,2073.835538
HP,Chem_Fert,Chem_Fert,Chem_Fert,2010,non-energy,2045.593287
HR,Chem_Fert,Chem_Fert,Chem_Fert,2010,non-energy,2045.593287
JH,Chem_Fert,Chem_Fert,Chem_Fert,2010,non-energy,2045.593287
JK,Chem_Fert,Chem_Fert,Chem_Fert,2010,non-energy,2045.593287
KA,Chem_Fert,Chem_Fert,Chem_Fert,2010,non-energy,2045.593287
KL,Chem_Fert,Chem_Fert,Chem_Fert,2010,non-energy,2045.593287
LA,Chem_Fert,Chem_Fert,Chem_Fert,2010,non-energy,2045.593287
LD,Chem_Fert,Chem_Fert,Chem_Fert,2010,non-energy,2045.593287
MH,Chem_Fert,Chem_Fert,Chem_Fert,2010,non-energy,2045.593287
ML,Chem_Fert,Chem_Fert,Chem_Fert,2010,non-energy,2045.593287
MN,Chem_Fert,Chem_Fert,Chem_Fert,2010,non-energy,2045.593287
MP,Chem_Fert,Chem_Fert,Chem_Fert,2010,non-energy,2045.593287
MZ,Chem_Fert,Chem_Fert,Chem_Fert,2010,non-energy,2045.593287
NL,Chem_Fert,Chem_Fert,Chem_Fert,2010,non-energy,2045.593287
OD,Chem_Fert,Chem_Fert,Chem_Fert,2010,non-energy,3122.114526
PB,Chem_Fert,Chem_Fert,Chem_Fert,2010,non-energy,2045.593287
PC,Chem_Fert,Chem_Fert,Chem_Fert,2010,non-energy,2045.593287
RJ,Chem_Fert,Chem_Fert,Chem_Fert,2010,non-energy,2045.593287
SK,Chem_Fert,Chem_Fert,Chem_Fert,2010,non-energy,2045.593287
TN,Chem_Fert,Chem_Fert,Chem_Fert,2010,non-energy,2506.510909
TR,Chem_Fert,Chem_Fert,Chem_Fert,2010,non-energy,2045.593287
TS,Chem_Fert,Chem_Fert,Chem_Fert,2010,non-energy,2045.593287
UK,Chem_Fert,Chem_Fert,Chem_Fert,2010,non-energy,2028.518245
UP,Chem_Fert,Chem_Fert,Chem_Fert,2010,non-energy,2596.098864
WB,Chem_Fert,Chem_Fert,Chem_Fert,2010,non-energy,2045.593287
AN,Chem_Fert_enuse,biomass,biomass,2010,non-energy,208.3068975
AP,Chem_Fert_enuse,biomass,biomass,2010,non-energy,208.3068975
AR,Chem_Fert_enuse,biomass,biomass,2010,non-energy,208.3068975
AS,Chem_Fert_enuse,biomass,biomass,2010,non-energy,208.3068975
BR,Chem_Fert_enuse,biomass,biomass,2010,non-energy,208.3068975
CG,Chem_Fert_enuse,biomass,biomass,2010,non-energy,208.3068975
CH,Chem_Fert_enuse,biomass,biomass,2010,non-energy,208.3068975
DD,Chem_Fert_enuse,biomass,biomass,2010,non-energy,208.3068975
DL,Chem_Fert_enuse,biomass,biomass,2010,non-energy,208.3068975
DN,Chem_Fert_enuse,biomass,biomass,2010,non-energy,208.3068975
GA,Chem_Fert_enuse,biomass,biomass,2010,non-energy,208.3068975
GJ,Chem_Fert_enuse,biomass,biomass,2010,non-energy,209.1419518
HP,Chem_Fert_enuse,biomass,biomass,2010,non-energy,208.3068975
HR,Chem_Fert_enuse,biomass,biomass,2010,non-energy,208.3068975
JH,Chem_Fert_enuse,biomass,biomass,2010,non-energy,208.3068975
JK,Chem_Fert_enuse,biomass,biomass,2010,non-energy,208.3068975
KA,Chem_Fert_enuse,biomass,biomass,2010,non-energy,208.3068975
KL,Chem_Fert_enuse,biomass,biomass,2010,non-energy,208.3068975
LA,Chem_Fert_enuse,biomass,biomass,2010,non-energy,208.3068975
LD,Chem_Fert_enuse,biomass,biomass,2010,non-energy,208.3068975
MH,Chem_Fert_enuse,biomass,biomass,2010,non-energy,208.3068975
ML,Chem_Fert_enuse,biomass,biomass,2010,non-energy,208.3068975
MN,Chem_Fert_enuse,biomass,biomass,2010,non-energy,208.3068975
MP,Chem_Fert_enuse,biomass,biomass,2010,non-energy,208.3068975
MZ,Chem_Fert_enuse,biomass,biomass,2010,non-energy,208.3068975
NL,Chem_Fert_enuse,biomass,biomass,2010,non-energy,208.3068975
