INPUT_TABLE,,,,,,,,
Variable ID,,,,,,,,
IndiaIndTechInterp_new,,,,,,,,
,,,,,,,,
region,supplysector,subsector,apply.to,from.year,to.year,from.value,to-value,interpolation.function
HP,Iron and Steel_fsuse,gas,share-weight,2095,2100,0.3,0.3,fixed
HR,Iron and Steel_fsuse,gas,share-weight,2095,2100,0.3,0.3,fixed
JH,Iron and Steel_fsuse,gas,share-weight,2095,2100,0.3,0.3,fixed
JK,Iron and Steel_fsuse,gas,share-weight,2095,2100,0.3,0.3,fixed
KA,Iron and Steel_fsuse,gas,share-weight,2095,2100,0.3,0.3,fixed
KL,Iron and Steel_fsuse,gas,share-weight,2095,2100,0.3,0.3,fixed
LA,Iron and Steel_fsuse,gas,share-weight,2095,2100,0.3,0.3,fixed
LD,Iron and Steel_fsuse,gas,share-weight,2095,2100,0.3,0.3,fixed
MH,Iron and Steel_fsuse,gas,share-weight,2095,2100,0.3,0.3,fixed
ML,Iron and Steel_fsuse,gas,share-weight,2095,2100,0.3,0.3,fixed
MN,Iron and Steel_fsuse,gas,share-weight,2095,2100,0.3,0.3,fixed
MP,Iron and Steel_fsuse,gas,share-weight,2095,2100,0.3,0.3,fixed
MZ,Iron and Steel_fsuse,gas,share-weight,2095,2100,0.3,0.3,fixed
NL,Iron and Steel_fsuse,gas,share-weight,2095,2100,0.3,0.3,fixed
OD,Iron and Steel_fsuse,gas,share-weight,2095,2100,0.3,0.3,fixed
PB,Iron and Steel_fsuse,gas,share-weight,2095,2100,0.3,0.3,fixed
PC,Iron and Steel_fsuse,gas,share-weight,2095,2100,0.3,0.3,fixed
RJ,Iron and Steel_fsuse,gas,share-weight,2095,2100,0.3,0.3,fixed
SK,Iron and Steel_fsuse,gas,share-weight,2095,2100,0.3,0.3,fixed
TN,Iron and Steel_fsuse,gas,share-weight,2095,2100,0.3,0.3,fixed
TR,Iron and Steel_fsuse,gas,share-weight,2095,2100,0.3,0.3,fixed
TS,Iron and Steel_fsuse,gas,share-weight,2095,2100,0.3,0.3,fixed
UK,Iron and Steel_fsuse,gas,share-weight,2095,2100,0.3,0.3,fixed
UP,Iron and Steel_fsuse,gas,share-weight,2095,2100,0.3,0.3,fixed
WB,Iron and Steel_fsuse,gas,share-weight,2095,2100,0.3,0.3,fixed
AN,Paper and Pulp_enuse,hydrogen,share-weight,2010,2100,0,0.0001,linear
AP,Paper and Pulp_enuse,hydrogen,share-weight,2010,2100,0,0.0001,linear
AR,Paper and Pulp_enuse,hydrogen,share-weight,2010,2100,0,0.0001,linear
AS,Paper and Pulp_enuse,hydrogen,share-weight,2010,2100,0,0.0001,linear
BR,Paper and Pulp_enuse,hydrogen,share-weight,2010,2100,0,0.0001,linear
CG,Paper and Pulp_enuse,hydrogen,share-weight,2010,2100,0,0.0001,linear
CH,Paper and Pulp_enuse,hydrogen,share-weight,2010,2100,0,0.0001,linear
DD,Paper and Pulp_enuse,hydrogen,share-weight,2010,2100,0,0.0001,linear
DL,Paper and Pulp_enuse,hydrogen,share-weight,2010,2100,0,0.0001,linear
DN,Paper and Pulp_enuse,hydrogen,share-weight,2010,2100,0,0.0001,linear
GA,Paper and Pulp_enuse,hydrogen,share-weight,2010,2100,0,0.0001,linear
GJ,Paper and Pulp_enuse,hydrogen,share-weight,2010,2100,0,0.0001,linear
HP,Paper and Pulp_enuse,hydrogen,share-weight,2010,2100,0,0.0001,linear
HR,Paper and Pulp_enuse,hydrogen,share-weight,2010,2100,0,0.0001,linear
JH,Paper and Pulp_enuse,hydrogen,share-weight,2010,2100,0,0.0001,linear
JK,Paper and Pulp_enuse,hydrogen,share-weight,2010,2100,0,0.0001,linear
KA,Paper and Pulp_enuse,hydrogen,share-weight,2010,2100,0,0.0001,linear
KL,Paper and Pulp_enuse,hydrogen,share-weight,2010,2100,0,0.0001,linear
LA,Paper and Pulp_enuse,hydrogen,share-weight,2010,2100,0,0.0001,linear
LD,Paper and Pulp_enuse,hydrogen,share-weight,2010,2100,0,0.0001,linear
MH,Paper and Pulp_enuse,hydrogen,share-weight,2010,2100,0,0.0001,linear
ML,Paper and Pulp_enuse,hydrogen,share-weight,2010,2100,0,0.0001,linear
MN,Paper and Pulp_enuse,hydrogen,share-weight,2010,2100,0,0.0001,linear
MP,Paper and Pulp_enuse,hydrogen,share-weight,2010,2100,0,0.0001,linear
MZ,Paper and Pulp_enuse,hydrogen,share-weight,2010,2100,0,0.0001,linear
NL,Paper and Pulp_enuse,hydrogen,share-weight,2010,2100,0,0.0001,linear
OD,Paper and Pulp_enuse,hydrogen,share-weight,2010,2100,0,0.0001,linear
PB,Paper and Pulp_enuse,hydrogen,share-weight,2010,2100,0,0.0001,linear
PC,Paper and Pulp_enuse,hydrogen,share-weight,2010,2100,0,0.0001,linear
RJ,Paper and Pulp_enuse,hydrogen,share-weight,2010,2100,0,0.0001,linear
SK,Paper and Pulp_enuse,hydrogen,share-weight,2010,2100,0,0.0001,linear
TN,Paper and Pulp_enuse,hydrogen,share-weight,2010,2100,0,0.0001,linear
TR,Paper and Pulp_enuse,hydrogen,share-weight,2010,2100,0,0.0001,linear
TS,Paper and Pulp_enuse,hydrogen,share-weight,2010,2100,0,0.0001,linear
UK,Paper and Pulp_enuse,hydrogen,share-weight,2010,2100,0,0.0001,linear
UP,Paper and Pulp_enuse,hydrogen,share-weight,2010,2100,0,0.0001,linear
WB,Paper and Pulp_enuse,hydrogen,share-weight,2010,2100,0,0.0001,linear
AN,Paper and Pulp_enuse,hydrogen,share-weight,2095,2100,0.0001,0.0001,fixed
AP,Paper and Pulp_enuse,hydrogen,share-weight,2095,2100,0.0001,0.0001,fixed
AR,Paper and Pulp_enuse,hydrogen,share-weight,2095,2100,0.0001,0.0001,fixed
AS,Paper and Pulp_enuse,hydrogen,share-weight,2095,2100,0.0001,0.0001,fixed
BR,Paper and Pulp_enuse,hydrogen,share-weight,2095,2100,0.0001,0.0001,fixed
