INPUT_TABLE,,,
Variable ID,,,
IncomeElasticity,,,
,,,
region,energy.final.demand,year,income.elasticity
JK,trn_aviation_intl,2070,1
KA,trn_aviation_intl,2070,1
KL,trn_aviation_intl,2070,1
LA,trn_aviation_intl,2070,1
LD,trn_aviation_intl,2070,1
MH,trn_aviation_intl,2070,1
ML,trn_aviation_intl,2070,1
MN,trn_aviation_intl,2070,1
MP,trn_aviation_intl,2070,1
MZ,trn_aviation_intl,2070,1
NL,trn_aviation_intl,2070,1
OD,trn_aviation_intl,2070,1
PB,trn_aviation_intl,2070,1
PC,trn_aviation_intl,2070,1
RJ,trn_aviation_intl,2070,1
SK,trn_aviation_intl,2070,1
TN,trn_aviation_intl,2070,1
TR,trn_aviation_intl,2070,1
TS,trn_aviation_intl,2070,1
UK,trn_aviation_intl,2070,1
UP,trn_aviation_intl,2070,1
WB,trn_aviation_intl,2070,1
AN,trn_aviation_intl,2075,1
AP,trn_aviation_intl,2075,1
AR,trn_aviation_intl,2075,1
AS,trn_aviation_intl,2075,1
BR,trn_aviation_intl,2075,1
CG,trn_aviation_intl,2075,1
CH,trn_aviation_intl,2075,1
DD,trn_aviation_intl,2075,1
DL,trn_aviation_intl,2075,1
DN,trn_aviation_intl,2075,1
GA,trn_aviation_intl,2075,1
GJ,trn_aviation_intl,2075,1
HP,trn_aviation_intl,2075,1
HR,trn_aviation_intl,2075,1
JH,trn_aviation_intl,2075,1
JK,trn_aviation_intl,2075,1
KA,trn_aviation_intl,2075,1
KL,trn_aviation_intl,2075,1
LA,trn_aviation_intl,2075,1
LD,trn_aviation_intl,2075,1
MH,trn_aviation_intl,2075,1
ML,trn_aviation_intl,2075,1
MN,trn_aviation_intl,2075,1
MP,trn_aviation_intl,2075,1
MZ,trn_aviation_intl,2075,1
NL,trn_aviation_intl,2075,1
OD,trn_aviation_intl,2075,1
PB,trn_aviation_intl,2075,1
PC,trn_aviation_intl,2075,1
RJ,trn_aviation_intl,2075,1
SK,trn_aviation_intl,2075,1
TN,trn_aviation_intl,2075,1
TR,trn_aviation_intl,2075,1
TS,trn_aviation_intl,2075,1
UK,trn_aviation_intl,2075,1
UP,trn_aviation_intl,2075,1
WB,trn_aviation_intl,2075,1
AN,trn_aviation_intl,2080,1
AP,trn_aviation_intl,2080,1
AR,trn_aviation_intl,2080,1
AS,trn_aviation_intl,2080,1
BR,trn_aviation_intl,2080,1
CG,trn_aviation_intl,2080,1
CH,trn_aviation_intl,2080,1
DD,trn_aviation_intl,2080,1
DL,trn_aviation_intl,2080,1
DN,trn_aviation_intl,2080,1
GA,trn_aviation_intl,2080,1
GJ,trn_aviation_intl,2080,1
