INPUT_TABLE,,,,,,,,
Variable ID,,,,,,,,
IndiaIndusSharewt,,,,,,,,
,,,,,,,,
region,supplysector,subsector,apply.to,from.year,to.year,from.value,to-value,interpolation.function
PB,resid rural cooking,biomass,share-weight,2010,2050,0,0,linear
PC,resid rural cooking,biomass,share-weight,2010,2050,0,0,linear
RJ,resid rural cooking,biomass,share-weight,2010,2050,0,0,linear
SK,resid rural cooking,biomass,share-weight,2010,2050,0,0,linear
TN,resid rural cooking,biomass,share-weight,2010,2050,0,0,linear
TR,resid rural cooking,biomass,share-weight,2010,2050,0,0,linear
TS,resid rural cooking,biomass,share-weight,2010,2050,0,0,linear
UK,resid rural cooking,biomass,share-weight,2010,2050,0,0,linear
UP,resid rural cooking,biomass,share-weight,2010,2050,0,0,linear
WB,resid rural cooking,biomass,share-weight,2010,2050,0,0,linear
AN,resid rural cooking,biomass,share-weight,2045,2100,0,0,fixed
AP,resid rural cooking,biomass,share-weight,2045,2100,0,0,fixed
AR,resid rural cooking,biomass,share-weight,2045,2100,0,0,fixed
AS,resid rural cooking,biomass,share-weight,2045,2100,0,0,fixed
BR,resid rural cooking,biomass,share-weight,2045,2100,0,0,fixed
CG,resid rural cooking,biomass,share-weight,2045,2100,0,0,fixed
CH,resid rural cooking,biomass,share-weight,2045,2100,0,0,fixed
DD,resid rural cooking,biomass,share-weight,2045,2100,0,0,fixed
DL,resid rural cooking,biomass,share-weight,2045,2100,0,0,fixed
DN,resid rural cooking,biomass,share-weight,2045,2100,0,0,fixed
GA,resid rural cooking,biomass,share-weight,2045,2100,0,0,fixed
GJ,resid rural cooking,biomass,share-weight,2045,2100,0,0,fixed
HP,resid rural cooking,biomass,share-weight,2045,2100,0,0,fixed
HR,resid rural cooking,biomass,share-weight,2045,2100,0,0,fixed
JH,resid rural cooking,biomass,share-weight,2045,2100,0,0,fixed
JK,resid rural cooking,biomass,share-weight,2045,2100,0,0,fixed
KA,resid rural cooking,biomass,share-weight,2045,2100,0,0,fixed
KL,resid rural cooking,biomass,share-weight,2045,2100,0,0,fixed
LA,resid rural cooking,biomass,share-weight,2045,2100,0,0,fixed
LD,resid rural cooking,biomass,share-weight,2045,2100,0,0,fixed
MH,resid rural cooking,biomass,share-weight,2045,2100,0,0,fixed
ML,resid rural cooking,biomass,share-weight,2045,2100,0,0,fixed
MN,resid rural cooking,biomass,share-weight,2045,2100,0,0,fixed
MP,resid rural cooking,biomass,share-weight,2045,2100,0,0,fixed
MZ,resid rural cooking,biomass,share-weight,2045,2100,0,0,fixed
NL,resid rural cooking,biomass,share-weight,2045,2100,0,0,fixed
OD,resid rural cooking,biomass,share-weight,2045,2100,0,0,fixed
PB,resid rural cooking,biomass,share-weight,2045,2100,0,0,fixed
PC,resid rural cooking,biomass,share-weight,2045,2100,0,0,fixed
RJ,resid rural cooking,biomass,share-weight,2045,2100,0,0,fixed
SK,resid rural cooking,biomass,share-weight,2045,2100,0,0,fixed
TN,resid rural cooking,biomass,share-weight,2045,2100,0,0,fixed
TR,resid rural cooking,biomass,share-weight,2045,2100,0,0,fixed
TS,resid rural cooking,biomass,share-weight,2045,2100,0,0,fixed
UK,resid rural cooking,biomass,share-weight,2045,2100,0,0,fixed
UP,resid rural cooking,biomass,share-weight,2045,2100,0,0,fixed
WB,resid rural cooking,biomass,share-weight,2045,2100,0,0,fixed
AN,resid rural space heating,biomass,share-weight,2010,2015,0,0,fixed
AP,resid rural space heating,biomass,share-weight,2010,2015,0,0,fixed
AR,resid rural space heating,biomass,share-weight,2010,2015,0,0,fixed
AS,resid rural space heating,biomass,share-weight,2010,2015,0,0,fixed
BR,resid rural space heating,biomass,share-weight,2010,2015,0,0,fixed
CG,resid rural space heating,biomass,share-weight,2010,2015,0,0,fixed
CH,resid rural space heating,biomass,share-weight,2010,2015,0,0,fixed
DD,resid rural space heating,biomass,share-weight,2010,2015,0,0,fixed
DL,resid rural space heating,biomass,share-weight,2010,2015,0,0,fixed
DN,resid rural space heating,biomass,share-weight,2010,2015,0,0,fixed
GA,resid rural space heating,biomass,share-weight,2010,2015,0,0,fixed
GJ,resid rural space heating,biomass,share-weight,2010,2015,0,0,fixed
HP,resid rural space heating,biomass,share-weight,2010,2015,0,0,fixed
HR,resid rural space heating,biomass,share-weight,2010,2015,0,0,fixed
JH,resid rural space heating,biomass,share-weight,2010,2015,0,0,fixed
JK,resid rural space heating,biomass,share-weight,2010,2015,0,0,fixed
KA,resid rural space heating,biomass,share-weight,2010,2015,0,0,fixed
KL,resid rural space heating,biomass,share-weight,2010,2015,0,0,fixed
LA,resid rural space heating,biomass,share-weight,2010,2015,0,0,fixed
LD,resid rural space heating,biomass,share-weight,2010,2015,0,0,fixed
MH,resid rural space heating,biomass,share-weight,2010,2015,0,0,fixed
ML,resid rural space heating,biomass,share-weight,2010,2015,0,0,fixed
MN,resid rural space heating,biomass,share-weight,2010,2015,0,0,fixed
MP,resid rural space heating,biomass,share-weight,2010,2015,0,0,fixed
MZ,resid rural space heating,biomass,share-weight,2010,2015,0,0,fixed
NL,resid rural space heating,biomass,share-weight,2010,2015,0,0,fixed
