INPUT_TABLE,,,,,,,,,
Variable ID,,,,,,,,,
RegionTechEff,,,,,,,,,
,,,,,,,,,
Region,sector.name,subsector.name,technology,year,minicam.energy.input,efficiency,,,
India,electricity,refined liquids,refined liquids (CC CCS),2040,refined liquids industrial,0.584,,,
India,electricity,refined liquids,refined liquids (CC CCS),2045,refined liquids industrial,0.602,,,
India,electricity,refined liquids,refined liquids (CC CCS),2050,refined liquids industrial,0.618,,,
India,electricity,refined liquids,refined liquids (CC CCS),2055,refined liquids industrial,0.631,,,
India,electricity,refined liquids,refined liquids (CC CCS),2060,refined liquids industrial,0.642,,,
India,electricity,refined liquids,refined liquids (CC CCS),2065,refined liquids industrial,0.652,,,
India,electricity,refined liquids,refined liquids (CC CCS),2070,refined liquids industrial,0.661,,,
India,electricity,refined liquids,refined liquids (CC CCS),2075,refined liquids industrial,0.668,,,
India,electricity,refined liquids,refined liquids (CC CCS),2080,refined liquids industrial,0.675,,,
India,electricity,refined liquids,refined liquids (CC CCS),2085,refined liquids industrial,0.681,,,
India,electricity,refined liquids,refined liquids (CC CCS),2090,refined liquids industrial,0.686,,,
India,electricity,refined liquids,refined liquids (CC CCS),2095,refined liquids industrial,0.691,,,These values are the original GCAM values
India,electricity,refined liquids,refined liquids (CC CCS),2100,refined liquids industrial,0.696,,,
India,electricity,refined liquids,refined liquids (CC),2015,refined liquids industrial,0.555,,,
India,electricity,refined liquids,refined liquids (CC),2020,refined liquids industrial,0.568,,,
India,electricity,refined liquids,refined liquids (CC),2025,refined liquids industrial,0.579,,,
India,electricity,refined liquids,refined liquids (CC),2030,refined liquids industrial,0.59,,,
India,electricity,refined liquids,refined liquids (CC),2035,refined liquids industrial,0.601,,,
India,electricity,refined liquids,refined liquids (CC),2040,refined liquids industrial,0.61,,,
India,electricity,refined liquids,refined liquids (CC),2045,refined liquids industrial,0.619,,,
India,electricity,refined liquids,refined liquids (CC),2050,refined liquids industrial,0.627,,,
India,electricity,refined liquids,refined liquids (CC),2055,refined liquids industrial,0.634,,,
India,electricity,refined liquids,refined liquids (CC),2060,refined liquids industrial,0.641,,,
India,electricity,refined liquids,refined liquids (CC),2065,refined liquids industrial,0.648,,,
India,electricity,refined liquids,refined liquids (CC),2070,refined liquids industrial,0.654,,,
India,electricity,refined liquids,refined liquids (CC),2075,refined liquids industrial,0.659,,,
India,electricity,refined liquids,refined liquids (CC),2080,refined liquids industrial,0.664,,,
India,electricity,refined liquids,refined liquids (CC),2085,refined liquids industrial,0.669,,,
India,electricity,refined liquids,refined liquids (CC),2090,refined liquids industrial,0.674,,,
India,electricity,refined liquids,refined liquids (CC),2095,refined liquids industrial,0.678,,,
India,electricity,refined liquids,refined liquids (CC),2100,refined liquids industrial,0.682,,,
India,electricity,refined liquids,refined liquids (steam/CT),2015,refined liquids industrial,0.363,,,
India,electricity,refined liquids,refined liquids (steam/CT),2020,refined liquids industrial,0.371,,,
India,electricity,refined liquids,refined liquids (steam/CT),2025,refined liquids industrial,0.38,,,
India,electricity,refined liquids,refined liquids (steam/CT),2030,refined liquids industrial,0.388,,,
India,electricity,refined liquids,refined liquids (steam/CT),2035,refined liquids industrial,0.395,,,
India,electricity,refined liquids,refined liquids (steam/CT),2040,refined liquids industrial,0.402,,,
India,electricity,refined liquids,refined liquids (steam/CT),2045,refined liquids industrial,0.409,,,
India,electricity,refined liquids,refined liquids (steam/CT),2050,refined liquids industrial,0.415,,,
India,electricity,refined liquids,refined liquids (steam/CT),2055,refined liquids industrial,0.421,,,
India,electricity,refined liquids,refined liquids (steam/CT),2060,refined liquids industrial,0.427,,,
India,electricity,refined liquids,refined liquids (steam/CT),2065,refined liquids industrial,0.433,,,
India,electricity,refined liquids,refined liquids (steam/CT),2070,refined liquids industrial,0.438,,,
India,electricity,refined liquids,refined liquids (steam/CT),2075,refined liquids industrial,0.443,,,
India,electricity,refined liquids,refined liquids (steam/CT),2080,refined liquids industrial,0.448,,,
India,electricity,refined liquids,refined liquids (steam/CT),2085,refined liquids industrial,0.452,,,
India,electricity,refined liquids,refined liquids (steam/CT),2090,refined liquids industrial,0.457,,,
India,electricity,refined liquids,refined liquids (steam/CT),2095,refined liquids industrial,0.461,,,
India,electricity,refined liquids,refined liquids (steam/CT),2100,refined liquids industrial,0.465,,,
India,electricity,wind,wind_storage,2015,onshore wind resource,0.96,,,
India,electricity,wind,wind_storage,2020,onshore wind resource,0.96,,,
India,electricity,wind,wind_storage,2025,onshore wind resource,0.96,,,
India,electricity,wind,wind_storage,2030,onshore wind resource,0.96,,,
India,electricity,wind,wind_storage,2035,onshore wind resource,0.96,,,
India,electricity,wind,wind_storage,2040,onshore wind resource,0.96,,,
India,electricity,wind,wind_storage,2045,onshore wind resource,0.96,,,
India,electricity,wind,wind_storage,2050,onshore wind resource,0.96,,,
India,electricity,wind,wind_storage,2055,onshore wind resource,0.96,,,
India,electricity,wind,wind_storage,2060,onshore wind resource,0.96,,,
India,electricity,wind,wind_storage,2065,onshore wind resource,0.96,,,
India,electricity,wind,wind_storage,2070,onshore wind resource,0.96,,,
India,electricity,wind,wind_storage,2075,onshore wind resource,0.96,,,
India,electricity,wind,wind_storage,2080,onshore wind resource,0.96,,,
India,electricity,wind,wind_storage,2085,onshore wind resource,0.96,,,
India,electricity,wind,wind_storage,2090,onshore wind resource,0.96,,,
India,electricity,wind,wind_storage,2095,onshore wind resource,0.96,,,
India,electricity,wind,wind_storage,2100,onshore wind resource,0.96,,,
