INPUT_TABLE,,,,,,
Variable ID,,,,,,
RegionTechEff,,,,,,
,,,,,,
Region,sector.name,subsector.name,technology,year,minicam.energy.input,efficiency
JH,electricity,biomass,biomass (conv CCS),2050,regional biomass,0.342
JK,electricity,biomass,biomass (conv CCS),2050,regional biomass,0.342
KA,electricity,biomass,biomass (conv CCS),2050,regional biomass,0.342
KL,electricity,biomass,biomass (conv CCS),2050,regional biomass,0.342
LA,electricity,biomass,biomass (conv CCS),2050,regional biomass,0.342
LD,electricity,biomass,biomass (conv CCS),2050,regional biomass,0.342
MH,electricity,biomass,biomass (conv CCS),2050,regional biomass,0.342
ML,electricity,biomass,biomass (conv CCS),2050,regional biomass,0.342
MN,electricity,biomass,biomass (conv CCS),2050,regional biomass,0.342
MP,electricity,biomass,biomass (conv CCS),2050,regional biomass,0.342
MZ,electricity,biomass,biomass (conv CCS),2050,regional biomass,0.342
NL,electricity,biomass,biomass (conv CCS),2050,regional biomass,0.342
OD,electricity,biomass,biomass (conv CCS),2050,regional biomass,0.342
PB,electricity,biomass,biomass (conv CCS),2050,regional biomass,0.342
PC,electricity,biomass,biomass (conv CCS),2050,regional biomass,0.342
RJ,electricity,biomass,biomass (conv CCS),2050,regional biomass,0.342
SK,electricity,biomass,biomass (conv CCS),2050,regional biomass,0.342
TN,electricity,biomass,biomass (conv CCS),2050,regional biomass,0.342
TR,electricity,biomass,biomass (conv CCS),2050,regional biomass,0.342
TS,electricity,biomass,biomass (conv CCS),2050,regional biomass,0.342
UK,electricity,biomass,biomass (conv CCS),2050,regional biomass,0.342
UP,electricity,biomass,biomass (conv CCS),2050,regional biomass,0.342
WB,electricity,biomass,biomass (conv CCS),2050,regional biomass,0.342
AN,electricity,biomass,biomass (conv CCS),2055,regional biomass,0.353
AP,electricity,biomass,biomass (conv CCS),2055,regional biomass,0.353
AR,electricity,biomass,biomass (conv CCS),2055,regional biomass,0.353
AS,electricity,biomass,biomass (conv CCS),2055,regional biomass,0.353
BR,electricity,biomass,biomass (conv CCS),2055,regional biomass,0.353
CG,electricity,biomass,biomass (conv CCS),2055,regional biomass,0.353
CH,electricity,biomass,biomass (conv CCS),2055,regional biomass,0.353
DD,electricity,biomass,biomass (conv CCS),2055,regional biomass,0.353
DL,electricity,biomass,biomass (conv CCS),2055,regional biomass,0.353
DN,electricity,biomass,biomass (conv CCS),2055,regional biomass,0.353
GA,electricity,biomass,biomass (conv CCS),2055,regional biomass,0.353
GJ,electricity,biomass,biomass (conv CCS),2055,regional biomass,0.353
HP,electricity,biomass,biomass (conv CCS),2055,regional biomass,0.353
HR,electricity,biomass,biomass (conv CCS),2055,regional biomass,0.353
JH,electricity,biomass,biomass (conv CCS),2055,regional biomass,0.353
JK,electricity,biomass,biomass (conv CCS),2055,regional biomass,0.353
KA,electricity,biomass,biomass (conv CCS),2055,regional biomass,0.353
KL,electricity,biomass,biomass (conv CCS),2055,regional biomass,0.353
LA,electricity,biomass,biomass (conv CCS),2055,regional biomass,0.353
LD,electricity,biomass,biomass (conv CCS),2055,regional biomass,0.353
MH,electricity,biomass,biomass (conv CCS),2055,regional biomass,0.353
ML,electricity,biomass,biomass (conv CCS),2055,regional biomass,0.353
MN,electricity,biomass,biomass (conv CCS),2055,regional biomass,0.353
MP,electricity,biomass,biomass (conv CCS),2055,regional biomass,0.353
MZ,electricity,biomass,biomass (conv CCS),2055,regional biomass,0.353
NL,electricity,biomass,biomass (conv CCS),2055,regional biomass,0.353
OD,electricity,biomass,biomass (conv CCS),2055,regional biomass,0.353
PB,electricity,biomass,biomass (conv CCS),2055,regional biomass,0.353
PC,electricity,biomass,biomass (conv CCS),2055,regional biomass,0.353
RJ,electricity,biomass,biomass (conv CCS),2055,regional biomass,0.353
SK,electricity,biomass,biomass (conv CCS),2055,regional biomass,0.353
TN,electricity,biomass,biomass (conv CCS),2055,regional biomass,0.353
