INPUT_TABLE,,,,,
Variable ID,,,,,
RegionIntTechCF,,,,,
,,,,,
region,supplysector,subsector,intermittent.technology,year,capacity.factor
MN,electricity,solar,CSP,2050,0.45
MP,electricity,solar,CSP,2050,0.45
MZ,electricity,solar,CSP,2050,0.45
NL,electricity,solar,CSP,2050,0.45
OD,electricity,solar,CSP,2050,0.45
PB,electricity,solar,CSP,2050,0.45
PC,electricity,solar,CSP,2050,0.45
RJ,electricity,solar,CSP,2050,0.45
SK,electricity,solar,CSP,2050,0.45
TN,electricity,solar,CSP,2050,0.45
TR,electricity,solar,CSP,2050,0.45
TS,electricity,solar,CSP,2050,0.45
UK,electricity,solar,CSP,2050,0.45
UP,electricity,solar,CSP,2050,0.45
WB,electricity,solar,CSP,2050,0.45
AN,electricity,solar,CSP,2055,0.46
AP,electricity,solar,CSP,2055,0.46
AR,electricity,solar,CSP,2055,0.46
AS,electricity,solar,CSP,2055,0.46
BR,electricity,solar,CSP,2055,0.46
CG,electricity,solar,CSP,2055,0.46
CH,electricity,solar,CSP,2055,0.46
DD,electricity,solar,CSP,2055,0.46
DL,electricity,solar,CSP,2055,0.46
DN,electricity,solar,CSP,2055,0.46
GA,electricity,solar,CSP,2055,0.46
GJ,electricity,solar,CSP,2055,0.46
HP,electricity,solar,CSP,2055,0.46
HR,electricity,solar,CSP,2055,0.46
JH,electricity,solar,CSP,2055,0.46
JK,electricity,solar,CSP,2055,0.46
KA,electricity,solar,CSP,2055,0.46
KL,electricity,solar,CSP,2055,0.46
LA,electricity,solar,CSP,2055,0.46
LD,electricity,solar,CSP,2055,0.46
MH,electricity,solar,CSP,2055,0.46
ML,electricity,solar,CSP,2055,0.46
MN,electricity,solar,CSP,2055,0.46
MP,electricity,solar,CSP,2055,0.46
MZ,electricity,solar,CSP,2055,0.46
NL,electricity,solar,CSP,2055,0.46
OD,electricity,solar,CSP,2055,0.46
PB,electricity,solar,CSP,2055,0.46
PC,electricity,solar,CSP,2055,0.46
RJ,electricity,solar,CSP,2055,0.46
SK,electricity,solar,CSP,2055,0.46
TN,electricity,solar,CSP,2055,0.46
TR,electricity,solar,CSP,2055,0.46
TS,electricity,solar,CSP,2055,0.46
UK,electricity,solar,CSP,2055,0.46
UP,electricity,solar,CSP,2055,0.46
WB,electricity,solar,CSP,2055,0.46
AN,electricity,solar,CSP,2060,0.47
AP,electricity,solar,CSP,2060,0.47
AR,electricity,solar,CSP,2060,0.47
AS,electricity,solar,CSP,2060,0.47
BR,electricity,solar,CSP,2060,0.47
CG,electricity,solar,CSP,2060,0.47
CH,electricity,solar,CSP,2060,0.47
DD,electricity,solar,CSP,2060,0.47
DL,electricity,solar,CSP,2060,0.47
DN,electricity,solar,CSP,2060,0.47
GA,electricity,solar,CSP,2060,0.47
GJ,electricity,solar,CSP,2060,0.47
HP,electricity,solar,CSP,2060,0.47
HR,electricity,solar,CSP,2060,0.47
JH,electricity,solar,CSP,2060,0.47
JK,electricity,solar,CSP,2060,0.47
KA,electricity,solar,CSP,2060,0.47
KL,electricity,solar,CSP,2060,0.47
LA,electricity,solar,CSP,2060,0.47
LD,electricity,solar,CSP,2060,0.47
MH,electricity,solar,CSP,2060,0.47
ML,electricity,solar,CSP,2060,0.47
MN,electricity,solar,CSP,2060,0.47
MP,electricity,solar,CSP,2060,0.47
MZ,electricity,solar,CSP,2060,0.47
NL,electricity,solar,CSP,2060,0.47
OD,electricity,solar,CSP,2060,0.47
PB,electricity,solar,CSP,2060,0.47
PC,electricity,solar,CSP,2060,0.47
RJ,electricity,solar,CSP,2060,0.47
SK,electricity,solar,CSP,2060,0.47
TN,electricity,solar,CSP,2060,0.47
TR,electricity,solar,CSP,2060,0.47
TS,electricity,solar,CSP,2060,0.47
UK,electricity,solar,CSP,2060,0.47
UP,electricity,solar,CSP,2060,0.47
WB,electricity,solar,CSP,2060,0.47
AN,electricity,solar,CSP,2065,0.48
