INPUT_TABLE,,,,,
Variable ID,,,,,
RegionIntTechCF,,,,,
,,,,,
region,supplysector,subsector,intermittent.technology,year,capacity.factor
PB,electricity,wind,wind,2090,0.18
PC,electricity,wind,wind,2090,0.18
RJ,electricity,wind,wind,2090,0.18
SK,electricity,wind,wind,2090,0.18
TN,electricity,wind,wind,2090,0.18
TR,electricity,wind,wind,2090,0.18
TS,electricity,wind,wind,2090,0.18
UK,electricity,wind,wind,2090,0.18
UP,electricity,wind,wind,2090,0.18
WB,electricity,wind,wind,2090,0.18
AN,electricity,wind,wind,2095,0.18
AP,electricity,wind,wind,2095,0.18
AR,electricity,wind,wind,2095,0.18
AS,electricity,wind,wind,2095,0.18
BR,electricity,wind,wind,2095,0.18
CG,electricity,wind,wind,2095,0.18
CH,electricity,wind,wind,2095,0.18
DD,electricity,wind,wind,2095,0.18
DL,electricity,wind,wind,2095,0.18
DN,electricity,wind,wind,2095,0.18
GA,electricity,wind,wind,2095,0.18
GJ,electricity,wind,wind,2095,0.18
HP,electricity,wind,wind,2095,0.18
HR,electricity,wind,wind,2095,0.18
JH,electricity,wind,wind,2095,0.18
JK,electricity,wind,wind,2095,0.18
KA,electricity,wind,wind,2095,0.18
KL,electricity,wind,wind,2095,0.18
LA,electricity,wind,wind,2095,0.18
LD,electricity,wind,wind,2095,0.18
MH,electricity,wind,wind,2095,0.18
ML,electricity,wind,wind,2095,0.18
MN,electricity,wind,wind,2095,0.18
MP,electricity,wind,wind,2095,0.18
MZ,electricity,wind,wind,2095,0.18
NL,electricity,wind,wind,2095,0.18
OD,electricity,wind,wind,2095,0.18
PB,electricity,wind,wind,2095,0.18
PC,electricity,wind,wind,2095,0.18
RJ,electricity,wind,wind,2095,0.18
SK,electricity,wind,wind,2095,0.18
TN,electricity,wind,wind,2095,0.18
TR,electricity,wind,wind,2095,0.18
TS,electricity,wind,wind,2095,0.18
UK,electricity,wind,wind,2095,0.18
UP,electricity,wind,wind,2095,0.18
WB,electricity,wind,wind,2095,0.18
AN,electricity,wind,wind,2100,0.18
AP,electricity,wind,wind,2100,0.18
AR,electricity,wind,wind,2100,0.18
AS,electricity,wind,wind,2100,0.18
BR,electricity,wind,wind,2100,0.18
CG,electricity,wind,wind,2100,0.18
CH,electricity,wind,wind,2100,0.18
DD,electricity,wind,wind,2100,0.18
DL,electricity,wind,wind,2100,0.18
DN,electricity,wind,wind,2100,0.18
GA,electricity,wind,wind,2100,0.18
GJ,electricity,wind,wind,2100,0.18
HP,electricity,wind,wind,2100,0.18
HR,electricity,wind,wind,2100,0.18
JH,electricity,wind,wind,2100,0.18
JK,electricity,wind,wind,2100,0.18
KA,electricity,wind,wind,2100,0.18
KL,electricity,wind,wind,2100,0.18
LA,electricity,wind,wind,2100,0.18
LD,electricity,wind,wind,2100,0.18
MH,electricity,wind,wind,2100,0.18
ML,electricity,wind,wind,2100,0.18
MN,electricity,wind,wind,2100,0.18
MP,electricity,wind,wind,2100,0.18
MZ,electricity,wind,wind,2100,0.18
NL,electricity,wind,wind,2100,0.18
OD,electricity,wind,wind,2100,0.18
PB,electricity,wind,wind,2100,0.18
PC,electricity,wind,wind,2100,0.18
RJ,electricity,wind,wind,2100,0.18
SK,electricity,wind,wind,2100,0.18
TN,electricity,wind,wind,2100,0.18
TR,electricity,wind,wind,2100,0.18
TS,electricity,wind,wind,2100,0.18
UK,electricity,wind,wind,2100,0.18
UP,electricity,wind,wind,2100,0.18
WB,electricity,wind,wind,2100,0.18
