INPUT_TABLE,,,,,
Variable ID,,,,,
RegionTechCF,,,,,
,,,,,
region,supplysector,subsector,technology,year,capacity.factor
UK,electricity,refined liquids,refined liquids (CC CCS),2080,0.35
UK,electricity,refined liquids,refined liquids (CC CCS),2085,0.35
UK,electricity,refined liquids,refined liquids (CC CCS),2090,0.35
UK,electricity,refined liquids,refined liquids (CC CCS),2095,0.35
UK,electricity,refined liquids,refined liquids (CC CCS),2100,0.35
UP,electricity,refined liquids,refined liquids (CC CCS),2010,0.35
UP,electricity,refined liquids,refined liquids (CC CCS),2015,0.35
UP,electricity,refined liquids,refined liquids (CC CCS),2020,0.35
UP,electricity,refined liquids,refined liquids (CC CCS),2025,0.35
UP,electricity,refined liquids,refined liquids (CC CCS),2030,0.35
UP,electricity,refined liquids,refined liquids (CC CCS),2035,0.35
UP,electricity,refined liquids,refined liquids (CC CCS),2040,0.35
UP,electricity,refined liquids,refined liquids (CC CCS),2045,0.35
UP,electricity,refined liquids,refined liquids (CC CCS),2050,0.35
UP,electricity,refined liquids,refined liquids (CC CCS),2055,0.35
UP,electricity,refined liquids,refined liquids (CC CCS),2060,0.35
UP,electricity,refined liquids,refined liquids (CC CCS),2065,0.35
UP,electricity,refined liquids,refined liquids (CC CCS),2070,0.35
UP,electricity,refined liquids,refined liquids (CC CCS),2075,0.35
UP,electricity,refined liquids,refined liquids (CC CCS),2080,0.35
UP,electricity,refined liquids,refined liquids (CC CCS),2085,0.35
UP,electricity,refined liquids,refined liquids (CC CCS),2090,0.35
UP,electricity,refined liquids,refined liquids (CC CCS),2095,0.35
UP,electricity,refined liquids,refined liquids (CC CCS),2100,0.35
WB,electricity,refined liquids,refined liquids (CC CCS),2010,0.35
WB,electricity,refined liquids,refined liquids (CC CCS),2015,0.35
WB,electricity,refined liquids,refined liquids (CC CCS),2020,0.35
WB,electricity,refined liquids,refined liquids (CC CCS),2025,0.35
WB,electricity,refined liquids,refined liquids (CC CCS),2030,0.35
WB,electricity,refined liquids,refined liquids (CC CCS),2035,0.35
WB,electricity,refined liquids,refined liquids (CC CCS),2040,0.35
WB,electricity,refined liquids,refined liquids (CC CCS),2045,0.35
WB,electricity,refined liquids,refined liquids (CC CCS),2050,0.35
WB,electricity,refined liquids,refined liquids (CC CCS),2055,0.35
WB,electricity,refined liquids,refined liquids (CC CCS),2060,0.35
WB,electricity,refined liquids,refined liquids (CC CCS),2065,0.35
WB,electricity,refined liquids,refined liquids (CC CCS),2070,0.35
WB,electricity,refined liquids,refined liquids (CC CCS),2075,0.35
WB,electricity,refined liquids,refined liquids (CC CCS),2080,0.35
WB,electricity,refined liquids,refined liquids (CC CCS),2085,0.35
WB,electricity,refined liquids,refined liquids (CC CCS),2090,0.35
WB,electricity,refined liquids,refined liquids (CC CCS),2095,0.35
WB,electricity,refined liquids,refined liquids (CC CCS),2100,0.35
AN,electricity,refined liquids,refined liquids (CC),2010,0.35
AN,electricity,refined liquids,refined liquids (CC),2015,0.35
AN,electricity,refined liquids,refined liquids (CC),2020,0.35
AN,electricity,refined liquids,refined liquids (CC),2025,0.35
AN,electricity,refined liquids,refined liquids (CC),2030,0.35
AN,electricity,refined liquids,refined liquids (CC),2035,0.35
AN,electricity,refined liquids,refined liquids (CC),2040,0.35
AN,electricity,refined liquids,refined liquids (CC),2045,0.35
AN,electricity,refined liquids,refined liquids (CC),2050,0.35
AN,electricity,refined liquids,refined liquids (CC),2055,0.35
AN,electricity,refined liquids,refined liquids (CC),2060,0.35
AN,electricity,refined liquids,refined liquids (CC),2065,0.35
AN,electricity,refined liquids,refined liquids (CC),2070,0.35
AN,electricity,refined liquids,refined liquids (CC),2075,0.35
AN,electricity,refined liquids,refined liquids (CC),2080,0.35
AN,electricity,refined liquids,refined liquids (CC),2085,0.35
AN,electricity,refined liquids,refined liquids (CC),2090,0.35
AN,electricity,refined liquids,refined liquids (CC),2095,0.35
AN,electricity,refined liquids,refined liquids (CC),2100,0.35
AP,electricity,refined liquids,refined liquids (CC),2010,0.35
AP,electricity,refined liquids,refined liquids (CC),2015,0.35
AP,electricity,refined liquids,refined liquids (CC),2020,0.35
AP,electricity,refined liquids,refined liquids (CC),2025,0.35
AP,electricity,refined liquids,refined liquids (CC),2030,0.35
AP,electricity,refined liquids,refined liquids (CC),2035,0.35
AP,electricity,refined liquids,refined liquids (CC),2040,0.35
AP,electricity,refined liquids,refined liquids (CC),2045,0.35
AP,electricity,refined liquids,refined liquids (CC),2050,0.35
AP,electricity,refined liquids,refined liquids (CC),2055,0.35
AP,electricity,refined liquids,refined liquids (CC),2060,0.35
AP,electricity,refined liquids,refined liquids (CC),2065,0.35
AP,electricity,refined liquids,refined liquids (CC),2070,0.35
AP,electricity,refined liquids,refined liquids (CC),2075,0.35
AP,electricity,refined liquids,refined liquids (CC),2080,0.35
AP,electricity,refined liquids,refined liquids (CC),2085,0.35
AP,electricity,refined liquids,refined liquids (CC),2090,0.35
AP,electricity,refined liquids,refined liquids (CC),2095,0.35
