INPUT_TABLE,,,,,,,,,
Variable ID,,,,,,,,,
StateCCUSShareweight,,,,,,,,,
,,,,,,,,,
region,supplysector,subsector,technology,apply.to,from.year,to.year,from.value,to-value,interpolation.function
AP,electricity,coal,coal (IGCC CCS),share-weight,2045,2100,1,1,fixed
AP,electricity,coal,coal (IGCC CCS),share-weight,2095,2100,1,1,fixed
AR,electricity,coal,coal (IGCC CCS),share-weight,2010,2050,0,1,linear
AR,electricity,coal,coal (IGCC CCS),share-weight,2045,2100,1,1,fixed
AR,electricity,coal,coal (IGCC CCS),share-weight,2095,2100,1,1,fixed
AS,electricity,coal,coal (IGCC CCS),share-weight,2010,2050,0,1,linear
AS,electricity,coal,coal (IGCC CCS),share-weight,2045,2100,1,1,fixed
AS,electricity,coal,coal (IGCC CCS),share-weight,2095,2100,1,1,fixed
BR,electricity,coal,coal (IGCC CCS),share-weight,2010,2050,0,1,linear
BR,electricity,coal,coal (IGCC CCS),share-weight,2045,2100,1,1,fixed
BR,electricity,coal,coal (IGCC CCS),share-weight,2095,2100,1,1,fixed
CG,electricity,coal,coal (IGCC CCS),share-weight,2010,2050,0,1,linear
CG,electricity,coal,coal (IGCC CCS),share-weight,2045,2100,1,1,fixed
CG,electricity,coal,coal (IGCC CCS),share-weight,2095,2100,1,1,fixed
CH,electricity,coal,coal (IGCC CCS),share-weight,2010,2050,0,1,linear
CH,electricity,coal,coal (IGCC CCS),share-weight,2045,2100,1,1,fixed
CH,electricity,coal,coal (IGCC CCS),share-weight,2095,2100,1,1,fixed
DD,electricity,coal,coal (IGCC CCS),share-weight,2010,2050,0,1,linear
DD,electricity,coal,coal (IGCC CCS),share-weight,2045,2100,1,1,fixed
DD,electricity,coal,coal (IGCC CCS),share-weight,2095,2100,1,1,fixed
DL,electricity,coal,coal (IGCC CCS),share-weight,2010,2050,0,1,linear
DL,electricity,coal,coal (IGCC CCS),share-weight,2045,2100,1,1,fixed
DL,electricity,coal,coal (IGCC CCS),share-weight,2095,2100,1,1,fixed
DN,electricity,coal,coal (IGCC CCS),share-weight,2010,2050,0,1,linear
DN,electricity,coal,coal (IGCC CCS),share-weight,2045,2100,1,1,fixed
DN,electricity,coal,coal (IGCC CCS),share-weight,2095,2100,1,1,fixed
GA,electricity,coal,coal (IGCC CCS),share-weight,2010,2050,0,1,linear
GA,electricity,coal,coal (IGCC CCS),share-weight,2045,2100,1,1,fixed
GA,electricity,coal,coal (IGCC CCS),share-weight,2095,2100,1,1,fixed
GJ,electricity,coal,coal (IGCC CCS),share-weight,2010,2050,0,1,linear
GJ,electricity,coal,coal (IGCC CCS),share-weight,2045,2100,1,1,fixed
GJ,electricity,coal,coal (IGCC CCS),share-weight,2095,2100,1,1,fixed
HP,electricity,coal,coal (IGCC CCS),share-weight,2010,2050,0,1,linear
HP,electricity,coal,coal (IGCC CCS),share-weight,2045,2100,1,1,fixed
HP,electricity,coal,coal (IGCC CCS),share-weight,2095,2100,1,1,fixed
HR,electricity,coal,coal (IGCC CCS),share-weight,2010,2050,0,1,linear
HR,electricity,coal,coal (IGCC CCS),share-weight,2045,2100,1,1,fixed
HR,electricity,coal,coal (IGCC CCS),share-weight,2095,2100,1,1,fixed
JH,electricity,coal,coal (IGCC CCS),share-weight,2010,2050,0,1,linear
JH,electricity,coal,coal (IGCC CCS),share-weight,2045,2100,1,1,fixed
JH,electricity,coal,coal (IGCC CCS),share-weight,2095,2100,1,1,fixed
JK,electricity,coal,coal (IGCC CCS),share-weight,2010,2050,0,1,linear
JK,electricity,coal,coal (IGCC CCS),share-weight,2045,2100,1,1,fixed
JK,electricity,coal,coal (IGCC CCS),share-weight,2095,2100,1,1,fixed
KA,electricity,coal,coal (IGCC CCS),share-weight,2010,2050,0,1,linear
KA,electricity,coal,coal (IGCC CCS),share-weight,2045,2100,1,1,fixed
KA,electricity,coal,coal (IGCC CCS),share-weight,2095,2100,1,1,fixed
