INPUT_TABLE,,,,,,,,
Variable ID,,,,,,,,
IndiaIndusSharewt,,,,,,,,
,,,,,,,,
region,supplysector,subsector,apply.to,from.year,to.year,from.value,to.value,interpolation.function
ML,electricity,hydro,share-weight,2015,2100,0,0,linear
ML,electricity,hydro,share-weight,2095,2100,0,0,fixed
MN,electricity,hydro,share-weight,2010,2020,0,0,fixed
MN,electricity,hydro,share-weight,2015,2100,0,0,linear
MN,electricity,hydro,share-weight,2095,2100,0,0,fixed
MP,electricity,hydro,share-weight,2010,2020,0,0,fixed
MP,electricity,hydro,share-weight,2015,2100,0,0,linear
MP,electricity,hydro,share-weight,2095,2100,0,0,fixed
MZ,electricity,hydro,share-weight,2010,2020,0,0,fixed
MZ,electricity,hydro,share-weight,2015,2100,0,0,linear
MZ,electricity,hydro,share-weight,2095,2100,0,0,fixed
NL,electricity,hydro,share-weight,2010,2020,0,0,fixed
NL,electricity,hydro,share-weight,2015,2100,0,0,linear
NL,electricity,hydro,share-weight,2095,2100,0,0,fixed
OD,electricity,hydro,share-weight,2010,2020,0,0,fixed
OD,electricity,hydro,share-weight,2015,2100,0,0,linear
OD,electricity,hydro,share-weight,2095,2100,0,0,fixed
PB,electricity,hydro,share-weight,2010,2020,0,0,fixed
PB,electricity,hydro,share-weight,2015,2100,0,0,linear
PB,electricity,hydro,share-weight,2095,2100,0,0,fixed
PC,electricity,hydro,share-weight,2010,2020,0,0,fixed
PC,electricity,hydro,share-weight,2015,2100,0,0,linear
PC,electricity,hydro,share-weight,2095,2100,0,0,fixed
RJ,electricity,hydro,share-weight,2010,2020,0,0,fixed
RJ,electricity,hydro,share-weight,2015,2100,0,0,linear
RJ,electricity,hydro,share-weight,2095,2100,0,0,fixed
SK,electricity,hydro,share-weight,2010,2020,0,0,fixed
SK,electricity,hydro,share-weight,2015,2100,0,0,linear
SK,electricity,hydro,share-weight,2095,2100,0,0,fixed
TN,electricity,hydro,share-weight,2010,2020,0,0,fixed
TN,electricity,hydro,share-weight,2015,2100,0,0,linear
TN,electricity,hydro,share-weight,2095,2100,0,0,fixed
TR,electricity,hydro,share-weight,2010,2020,0,0,fixed
TR,electricity,hydro,share-weight,2015,2100,0,0,linear
TR,electricity,hydro,share-weight,2095,2100,0,0,fixed
TS,electricity,hydro,share-weight,2010,2020,0,0,fixed
TS,electricity,hydro,share-weight,2015,2100,0,0,linear
TS,electricity,hydro,share-weight,2095,2100,0,0,fixed
UK,electricity,hydro,share-weight,2010,2020,1,1,fixed
UK,electricity,hydro,share-weight,2015,2100,1,1,linear
UK,electricity,hydro,share-weight,2095,2100,1,1,fixed
UP,electricity,hydro,share-weight,2010,2020,0,0,fixed
UP,electricity,hydro,share-weight,2015,2100,0,0,linear
UP,electricity,hydro,share-weight,2095,2100,0,0,fixed
WB,electricity,hydro,share-weight,2010,2020,0,0,fixed
WB,electricity,hydro,share-weight,2015,2100,0,0,linear
WB,electricity,hydro,share-weight,2095,2100,0,0,fixed
AN,electricity,refined liquids,share-weight,2010,2020,1,1,fixed
AN,electricity,refined liquids,share-weight,2015,2100,1,0,linear
AN,electricity,refined liquids,share-weight,2095,2100,0,0,fixed
AP,electricity,refined liquids,share-weight,2010,2020,1,1,fixed
AP,electricity,refined liquids,share-weight,2015,2100,1,0,linear
AP,electricity,refined liquids,share-weight,2095,2100,0,0,fixed
AR,electricity,refined liquids,share-weight,2010,2020,1,1,fixed
AR,electricity,refined liquids,share-weight,2015,2100,1,0,linear
AR,electricity,refined liquids,share-weight,2095,2100,0,0,fixed
AS,electricity,refined liquids,share-weight,2010,2020,1,1,fixed
AS,electricity,refined liquids,share-weight,2015,2100,1,0,linear
AS,electricity,refined liquids,share-weight,2095,2100,0,0,fixed
BR,electricity,refined liquids,share-weight,2010,2020,1,1,fixed
BR,electricity,refined liquids,share-weight,2015,2100,1,0,linear
BR,electricity,refined liquids,share-weight,2095,2100,0,0,fixed
CG,electricity,refined liquids,share-weight,2010,2020,1,1,fixed
CG,electricity,refined liquids,share-weight,2015,2100,1,0,linear
CG,electricity,refined liquids,share-weight,2095,2100,0,0,fixed
CH,electricity,refined liquids,share-weight,2010,2020,1,1,fixed
CH,electricity,refined liquids,share-weight,2015,2100,1,0,linear
CH,electricity,refined liquids,share-weight,2095,2100,0,0,fixed
DD,electricity,refined liquids,share-weight,2010,2020,1,1,fixed
DD,electricity,refined liquids,share-weight,2015,2100,1,0,linear
DD,electricity,refined liquids,share-weight,2095,2100,0,0,fixed
DL,electricity,refined liquids,share-weight,2010,2020,1,1,fixed
DL,electricity,refined liquids,share-weight,2015,2100,1,0,linear
DL,electricity,refined liquids,share-weight,2095,2100,0,0,fixed
DN,electricity,refined liquids,share-weight,2010,2020,1,1,fixed
DN,electricity,refined liquids,share-weight,2015,2100,1,0,linear
DN,electricity,refined liquids,share-weight,2095,2100,0,0,fixed
GA,electricity,refined liquids,share-weight,2010,2020,1,1,fixed
GA,electricity,refined liquids,share-weight,2015,2100,1,0,linear
GA,electricity,refined liquids,share-weight,2095,2100,0,0,fixed
GJ,electricity,refined liquids,share-weight,2010,2020,1,1,fixed
GJ,electricity,refined liquids,share-weight,2015,2100,1,0,linear
GJ,electricity,refined liquids,share-weight,2095,2100,0,0,fixed
HP,electricity,refined liquids,share-weight,2010,2020,1,1,fixed
HP,electricity,refined liquids,share-weight,2015,2100,1,0,linear
HP,electricity,refined liquids,share-weight,2095,2100,0,0,fixed
HR,electricity,refined liquids,share-weight,2010,2020,1,1,fixed
HR,electricity,refined liquids,share-weight,2015,2100,1,0,linear
HR,electricity,refined liquids,share-weight,2095,2100,0,0,fixed
JH,electricity,refined liquids,share-weight,2010,2020,1,1,fixed
JH,electricity,refined liquids,share-weight,2015,2100,1,0,linear
JH,electricity,refined liquids,share-weight,2095,2100,0,0,fixed
JK,electricity,refined liquids,share-weight,2010,2020,1,1,fixed
JK,electricity,refined liquids,share-weight,2015,2100,1,0,linear
JK,electricity,refined liquids,share-weight,2095,2100,0,0,fixed
KA,electricity,refined liquids,share-weight,2010,2020,1,1,fixed
KA,electricity,refined liquids,share-weight,2015,2100,1,0,linear
KA,electricity,refined liquids,share-weight,2095,2100,0,0,fixed
KL,electricity,refined liquids,share-weight,2010,2020,1,1,fixed
KL,electricity,refined liquids,share-weight,2015,2100,1,0,linear
KL,electricity,refined liquids,share-weight,2095,2100,0,0,fixed
LA,electricity,refined liquids,share-weight,2010,2020,1,1,fixed
LA,electricity,refined liquids,share-weight,2015,2100,1,0,linear
LA,electricity,refined liquids,share-weight,2095,2100,0,0,fixed
LD,electricity,refined liquids,share-weight,2010,2020,1,1,fixed
LD,electricity,refined liquids,share-weight,2015,2100,1,0,linear
LD,electricity,refined liquids,share-weight,2095,2100,0,0,fixed
MH,electricity,refined liquids,share-weight,2010,2020,0.5,0.5,fixed
MH,electricity,refined liquids,share-weight,2015,2100,0.5,0,linear
MH,electricity,refined liquids,share-weight,2095,2100,0,0,fixed
ML,electricity,refined liquids,share-weight,2010,2020,1,1,fixed
ML,electricity,refined liquids,share-weight,2015,2100,1,0,linear
ML,electricity,refined liquids,share-weight,2095,2100,0,0,fixed
MN,electricity,refined liquids,share-weight,2010,2020,1,1,fixed
MN,electricity,refined liquids,share-weight,2015,2100,1,0,linear
MN,electricity,refined liquids,share-weight,2095,2100,0,0,fixed
MP,electricity,refined liquids,share-weight,2010,2020,1,1,fixed
MP,electricity,refined liquids,share-weight,2015,2100,1,0,linear
MP,electricity,refined liquids,share-weight,2095,2100,0,0,fixed
MZ,electricity,refined liquids,share-weight,2010,2020,1,1,fixed
MZ,electricity,refined liquids,share-weight,2015,2100,1,0,linear
MZ,electricity,refined liquids,share-weight,2095,2100,0,0,fixed
NL,electricity,refined liquids,share-weight,2010,2020,1,1,fixed
NL,electricity,refined liquids,share-weight,2015,2100,1,0,linear
NL,electricity,refined liquids,share-weight,2095,2100,0,0,fixed
OD,electricity,refined liquids,share-weight,2010,2020,1,1,fixed
OD,electricity,refined liquids,share-weight,2015,2100,1,0,linear
OD,electricity,refined liquids,share-weight,2095,2100,0,0,fixed
PB,electricity,refined liquids,share-weight,2010,2020,1,1,fixed
PB,electricity,refined liquids,share-weight,2015,2100,1,0,linear
PB,electricity,refined liquids,share-weight,2095,2100,0,0,fixed
PC,electricity,refined liquids,share-weight,2010,2020,1,1,fixed
PC,electricity,refined liquids,share-weight,2015,2100,1,0,linear
PC,electricity,refined liquids,share-weight,2095,2100,0,0,fixed
RJ,electricity,refined liquids,share-weight,2010,2020,1,1,fixed
RJ,electricity,refined liquids,share-weight,2015,2100,1,0,linear
RJ,electricity,refined liquids,share-weight,2095,2100,0,0,fixed
SK,electricity,refined liquids,share-weight,2010,2020,1,1,fixed
SK,electricity,refined liquids,share-weight,2015,2100,1,0,linear
SK,electricity,refined liquids,share-weight,2095,2100,0,0,fixed
TN,electricity,refined liquids,share-weight,2010,2020,1,1,fixed
TN,electricity,refined liquids,share-weight,2015,2100,1,0,linear
TN,electricity,refined liquids,share-weight,2095,2100,0,0,fixed
TR,electricity,refined liquids,share-weight,2010,2020,1,1,fixed
TR,electricity,refined liquids,share-weight,2015,2100,1,0,linear
